,adj1,adj2,adj3,adj4
ENSG00000144648-ENSG00000169604,0.0,-1.0,0.0,0.0
ENSG00000010704-ENSG00000169242,0.0,-1.0,0.0,0.0
ENSG00000077782-ENSG00000116678,0.0,0.0,0.0,0.0
ENSG00000171388-ENSG00000175505,0.0,0.0,0.0,0.0
ENSG00000070388-ENSG00000196189,0.0,0.0,0.0,0.0
ENSG00000170962-ENSG00000186265,0.0,0.0,0.0,0.0
ENSG00000136040-ENSG00000185483,0.0,-1.0,0.0,0.0
ENSG00000067182-ENSG00000183395,0.0,0.0,0.0,0.0
ENSG00000106538-ENSG00000146904,0.0,0.0,0.0,0.0
ENSG00000006638-ENSG00000138185,0.0,0.0,0.0,0.0
ENSG00000120889-ENSG00000278195,0.0,0.0,0.0,0.0
ENSG00000087494-ENSG00000111186,0.0,-1.0,0.0,0.0
ENSG00000138798-ENSG00000160223,0.0,0.0,0.0,0.0
ENSG00000138623-ENSG00000170893,0.0,0.0,0.0,0.0
ENSG00000162552-ENSG00000169604,0.0,-1.0,0.0,0.0
ENSG00000122679-ENSG00000126251,0.0,0.0,0.0,0.0
ENSG00000121797-ENSG00000126262,0.0,0.0,0.0,0.0
ENSG00000037280-ENSG00000169752,0.0,0.0,0.0,0.0
ENSG00000160013-ENSG00000204936,0.0,0.0,0.0,0.0
ENSG00000138623-ENSG00000171587,0.0,-1.0,0.0,0.0
ENSG00000122218-ENSG00000127418,0.0,0.0,0.0,0.0
ENSG00000135577-ENSG00000182585,0.0,0.0,0.0,0.0
ENSG00000104938-ENSG00000164690,0.0,0.0,0.0,0.0
ENSG00000101958-ENSG00000135744,0.0,-1.0,0.0,0.0
ENSG00000061492-ENSG00000167191,0.0,0.0,0.0,0.0
ENSG00000134817-ENSG00000189056,0.0,0.0,0.0,0.0
ENSG00000139514-ENSG00000178752,0.0,0.0,0.0,0.0
ENSG00000101017-ENSG00000130164,0.0,0.0,0.0,0.0
ENSG00000072274-ENSG00000125845,0.0,0.0,0.0,0.0
ENSG00000122679-ENSG00000138207,0.0,-1.0,0.0,0.0
ENSG00000062038-ENSG00000128602,0.0,0.0,0.0,0.0
ENSG00000137252-ENSG00000183662,0.0,0.0,0.0,0.0
ENSG00000092969-ENSG00000105989,0.0,-1.0,0.0,0.0
ENSG00000136999-ENSG00000198753,0.0,0.0,0.0,0.0
ENSG00000139187-ENSG00000198049,0.0,0.0,0.0,0.0
ENSG00000121797-ENSG00000163823,0.0,0.0,0.0,0.0
ENSG00000116678-ENSG00000134760,0.0,0.0,0.0,0.0
ENSG00000158769-ENSG00000186810,0.0,0.0,0.0,0.0
ENSG00000004948-ENSG00000011422,0.0,0.0,0.0,0.0
ENSG00000018236-ENSG00000101405,0.0,0.0,0.0,0.0
ENSG00000102970-ENSG00000113361,0.0,0.0,0.0,0.0
ENSG00000135218-ENSG00000160867,0.0,0.0,0.0,0.0
ENSG00000164022-ENSG00000184500,0.0,-1.0,0.0,0.0
ENSG00000070388-ENSG00000141736,0.0,0.0,0.0,0.0
ENSG00000112038-ENSG00000163235,0.0,-1.0,0.0,0.0
ENSG00000087494-ENSG00000121989,0.0,-1.0,0.0,0.0
ENSG00000143590-ENSG00000187323,0.0,-1.0,0.0,0.0
ENSG00000134243-ENSG00000171105,0.0,0.0,0.0,0.0
ENSG00000150630-ENSG00000188404,0.0,0.0,0.0,0.0
ENSG00000128271-ENSG00000182580,0.0,-1.0,0.0,0.0
ENSG00000143217-ENSG00000171522,0.0,0.0,0.0,0.0
ENSG00000113763-ENSG00000166863,0.0,-1.0,0.0,0.0
ENSG00000105989-ENSG00000123384,0.0,0.0,0.0,0.0
ENSG00000125657-ENSG00000213809,0.0,0.0,0.0,0.0
ENSG00000149564-ENSG00000169218,0.0,-1.0,0.0,0.0
ENSG00000120217-ENSG00000162998,0.0,-1.0,0.0,0.0
ENSG00000005844-ENSG00000065361,0.0,0.0,0.0,0.0
ENSG00000135577-ENSG00000162337,0.0,-1.0,0.0,0.0
ENSG00000152266-ENSG00000168081,0.0,0.0,0.0,0.0
ENSG00000162344-ENSG00000172349,0.0,0.0,0.0,0.0
ENSG00000134760-ENSG00000196639,0.0,0.0,0.0,0.0
ENSG00000132671-ENSG00000139514,0.0,-1.0,0.0,0.0
ENSG00000144648-ENSG00000161921,0.0,0.0,0.0,0.0
ENSG00000070886-ENSG00000146374,0.0,-1.0,0.0,0.0
ENSG00000112195-ENSG00000173530,0.0,0.0,0.0,0.0
ENSG00000113389-ENSG00000121797,0.0,0.0,0.0,0.0
ENSG00000087086-ENSG00000168398,0.0,0.0,0.0,0.0
ENSG00000134817-ENSG00000175514,0.0,0.0,0.0,0.0
ENSG00000162337-ENSG00000171051,0.0,0.0,0.0,0.0
ENSG00000122025-ENSG00000136634,0.0,0.0,0.0,0.0
ENSG00000126262-ENSG00000174600,0.0,0.0,0.0,0.0
ENSG00000099617-ENSG00000121853,0.0,0.0,0.0,0.0
ENSG00000188822-ENSG00000239961,0.0,0.0,0.0,0.0
ENSG00000157873-ENSG00000172156,0.0,0.0,0.0,0.0
ENSG00000123496-ENSG00000132671,0.0,0.0,0.0,0.0
ENSG00000132170-ENSG00000173080,0.0,0.0,0.0,0.0
ENSG00000044524-ENSG00000160013,0.0,0.0,0.0,0.0
ENSG00000091879-ENSG00000158815,0.0,0.0,0.0,0.0
ENSG00000085741-ENSG00000161955,0.0,0.0,0.0,0.0
ENSG00000106538-ENSG00000179776,0.0,-1.0,0.0,0.0
ENSG00000128602-ENSG00000137868,0.0,-1.0,0.0,0.0
ENSG00000070388-ENSG00000163606,0.0,0.0,0.0,0.0
ENSG00000188883-ENSG00000198910,0.0,0.0,0.0,0.0
ENSG00000145147-ENSG00000164199,0.0,-1.0,0.0,0.0
ENSG00000168621-ENSG00000170381,0.0,0.0,0.0,0.0
ENSG00000026103-ENSG00000113578,0.0,0.0,0.0,0.0
ENSG00000113763-ENSG00000275718,0.0,0.0,0.0,0.0
ENSG00000011422-ENSG00000112964,0.0,0.0,0.0,0.0
ENSG00000110079-ENSG00000187094,0.0,0.0,0.0,0.0
ENSG00000168081-ENSG00000171860,0.0,-1.0,0.0,0.0
ENSG00000121858-ENSG00000196189,0.0,0.0,0.0,0.0
ENSG00000106804-ENSG00000163599,0.0,0.0,0.0,0.0
ENSG00000122025-ENSG00000165197,0.0,-1.0,0.0,0.0
ENSG00000168621-ENSG00000173511,0.0,0.0,0.0,0.0
ENSG00000090776-ENSG00000164270,0.0,-1.0,0.0,0.0
ENSG00000135577-ENSG00000183087,0.0,0.0,0.0,0.0
ENSG00000162998-ENSG00000163421,0.0,0.0,0.0,0.0
ENSG00000170381-ENSG00000196411,0.0,-1.0,0.0,0.0
ENSG00000160867-ENSG00000174808,0.0,0.0,0.0,0.0
ENSG00000128271-ENSG00000215788,0.0,-1.0,0.0,0.0
ENSG00000161955-ENSG00000275385,0.0,0.0,0.0,0.0
ENSG00000091513-ENSG00000113494,0.0,-1.0,0.0,0.0
ENSG00000136244-ENSG00000188404,0.0,0.0,0.0,0.0
ENSG00000108700-ENSG00000173080,0.0,0.0,0.0,0.0
ENSG00000115596-ENSG00000198400,0.0,0.0,0.0,0.0
ENSG00000088827-ENSG00000135414,0.0,0.0,0.0,0.0
ENSG00000070886-ENSG00000140443,0.0,-1.0,0.0,0.0
ENSG00000171243-ENSG00000174175,0.0,0.0,0.0,0.0
ENSG00000105767-ENSG00000142512,0.0,0.0,0.0,0.0
ENSG00000028137-ENSG00000125657,0.0,0.0,0.0,0.0
ENSG00000168398-ENSG00000197746,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000232629,0.0,-1.0,0.0,0.0
ENSG00000104332-ENSG00000197919,0.0,0.0,0.0,0.0
ENSG00000134765-ENSG00000135333,0.0,0.0,0.0,0.0
ENSG00000125084-ENSG00000141736,0.0,0.0,0.0,0.0
ENSG00000087086-ENSG00000171522,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000169083,0.0,-1.0,0.0,0.0
ENSG00000139874-ENSG00000169083,0.0,-1.0,0.0,0.0
ENSG00000121989-ENSG00000163600,0.0,0.0,0.0,0.0
ENSG00000011422-ENSG00000069493,0.0,0.0,0.0,0.0
ENSG00000112902-ENSG00000123384,0.0,-1.0,0.0,0.0
ENSG00000152266-ENSG00000182985,0.0,0.0,0.0,0.0
ENSG00000065325-ENSG00000156687,0.0,0.0,0.0,0.0
ENSG00000119973-ENSG00000151882,0.0,0.0,0.0,0.0
ENSG00000075290-ENSG00000153283,0.0,0.0,0.0,0.0
ENSG00000109255-ENSG00000142192,0.0,0.0,0.0,0.0
ENSG00000124089-ENSG00000188883,0.0,0.0,0.0,0.0
ENSG00000004399-ENSG00000113389,0.0,-1.0,0.0,0.0
ENSG00000116678-ENSG00000276070,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000197696,0.0,-1.0,0.0,0.0
ENSG00000087494-ENSG00000161610,0.0,-1.0,0.0,0.0
ENSG00000145242-ENSG00000146648,0.0,0.0,0.0,0.0
ENSG00000112761-ENSG00000172179,0.0,0.0,0.0,0.0
ENSG00000118271-ENSG00000197471,0.0,-1.0,0.0,0.0
ENSG00000081237-ENSG00000113520,0.0,0.0,0.0,0.0
ENSG00000080293-ENSG00000102970,0.0,0.0,0.0,0.0
ENSG00000085741-ENSG00000183454,0.0,0.0,0.0,0.0
ENSG00000121594-ENSG00000145147,0.0,0.0,0.0,0.0
ENSG00000091972-ENSG00000198049,0.0,0.0,0.0,0.0
ENSG00000116106-ENSG00000125735,0.0,0.0,0.0,0.0
ENSG00000101200-ENSG00000129048,0.0,0.0,0.0,0.0
ENSG00000077782-ENSG00000115263,0.0,0.0,0.0,0.0
ENSG00000154721-ENSG00000169604,0.0,-1.0,0.0,0.0
ENSG00000112195-ENSG00000186895,0.0,0.0,0.0,0.0
ENSG00000105976-ENSG00000233816,0.0,0.0,0.0,0.0
ENSG00000120057-ENSG00000182580,0.0,-1.0,0.0,0.0
ENSG00000137801-ENSG00000215644,0.0,0.0,0.0,0.0
ENSG00000139874-ENSG00000171208,0.0,-1.0,0.0,0.0
ENSG00000065361-ENSG00000175505,0.0,0.0,0.0,0.0
ENSG00000121853-ENSG00000204592,0.0,0.0,0.0,0.0
ENSG00000143184-ENSG00000145423,0.0,0.0,0.0,0.0
ENSG00000146648-ENSG00000171631,0.0,0.0,0.0,0.0
ENSG00000061492-ENSG00000134250,0.0,0.0,0.0,0.0
ENSG00000109943-ENSG00000174417,0.0,0.0,0.0,0.0
