,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000188064-ENSG00000145423,0.01104039981169897,0.25106985187876196,0.07744911208493535,1917.0,132.0,0.16425948198184864,1024.5,0.01742709742109662
ENSG00000273079-ENSG00000172349,0.2622386027674738,0.35588839557052426,0.2656515094117572,17736.0,247.0,0.3107699524911407,8991.5,0.074619352788304
ENSG00000143816-ENSG00000156076,-0.040582141704545716,0.13260251922416527,0.10087147334332185,762.0,95.0,0.11673699628374357,428.5,-0.020509730652619875
ENSG00000182578-ENSG00000184371,-0.030662526428820912,0.04547308162267124,0.011116873402459083,1901.0,131.0,0.028294977512565163,1016.0,0.006249626572584547
