,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000146648-ENSG00000240972,0.018246180193581207,0.06256688110475374,0.2593084967215386,362.0,8287.0,0.16093768891314617,4324.5,0.021771631745384327
ENSG00000145423-ENSG00000111186,0.03824818452573466,0.07744911208493535,0.046946050896077174,132.0,236.0,0.06219758149050626,184.0,0.0030146812107887345
ENSG00000120057-ENSG00000115596,0.01905502073251252,0.1454391860994696,0.08136775134273244,311.0,72.0,0.11340346872110102,191.5,0.02845468866003312
ENSG00000099617-ENSG00000116106,0.06433847809542043,0.020419282893247775,0.3653908891858487,320.0,10136.0,0.19290508603954826,5228.0,0.03378395846112149
ENSG00000146648-ENSG00000122218,0.024944606659318743,0.06256688110475374,0.18700284019591368,362.0,8498.0,0.1247848606503337,4430.0,0.021268623771846334
ENSG00000146469-ENSG00000106018,-0.04406026740869075,0.14319332887713487,0.13098107632970368,1459.0,105.0,0.13708720260341928,782.0,-0.044672222557722414
ENSG00000013725-ENSG00000170017,0.057630224800879926,0.10479677945612238,0.43471139074478776,130.0,7198.0,0.26975408510045507,3664.0,0.021859051105223477
ENSG00000196576-ENSG00000105894,0.11833329420117049,0.13407967794295392,0.5473708217593684,1822.0,26544.0,0.34072524985116115,14183.0,0.0552408711958582
