,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000125266-ENSG00000116106,-0.022577817018465764,0.23574440891048465,0.3653908891858487,1592.0,10136.0,0.3005676490481667,5864.0,-0.03718156768178418
ENSG00000169242-ENSG00000116106,-0.02017615627440968,0.006726799701227392,0.3653908891858487,304.0,10136.0,0.18605884444353807,5220.0,-0.01922216136876587
ENSG00000108379-ENSG00000156076,0.0025260813133798185,0.29000194442177624,0.10087147334332185,552.0,95.0,0.19543670888254905,323.5,0.01036546024161147
ENSG00000112715-ENSG00000273079,0.10889404070767407,0.07192585020124798,0.35588839557052426,2883.0,17736.0,0.21390712288588612,10309.5,0.08513838291892095
