,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000176697-ENSG00000134243,0.4064643223495587,0.25381464809436527,0.2367682792392102,2508.0,7708.0,0.24529146366678772,5108.0,0.1726565395561874
ENSG00000105989-ENSG00000120057,-0.04599821767755041,0.06590264305385186,0.1454391860994696,197.0,311.0,0.10567091457666072,254.0,-0.028635477694163334
ENSG00000081237-ENSG00000260314,0.06088509083736856,0.26600408066167325,0.07411868354855944,277.0,188.0,0.17006138210511634,232.5,0.022191311615899184
ENSG00000196576-ENSG00000095539,0.03195534920493866,0.13407967794295392,0.2109620595568395,1822.0,1140.0,0.1725208687498967,1481.0,0.016874602425281344
ENSG00000162706-ENSG00000088367,0.5278211804154214,0.4899065365844151,0.46483154021388284,20422.0,20330.0,0.47736903839914896,20376.0,0.3611707742051639
ENSG00000154764-ENSG00000162998,-0.001986159407383976,0.06917204539368586,0.23037288579539134,684.0,518.0,0.1497724655945386,601.0,0.0023125016370563237
ENSG00000073008-ENSG00000177707,0.08226186611158577,0.01725410851856146,0.22139401709045609,339.0,1993.0,0.11932406280450877,1166.0,0.03956978460074337
ENSG00000114251-ENSG00000104332,0.12083235024107963,0.09683342058218357,0.05510095177287649,705.0,208.0,0.07596718617753002,456.5,0.016949870819119316
ENSG00000105329-ENSG00000069702,0.10262166705478809,0.02738953912924685,0.08312944666746024,435.0,658.0,0.055259492898353545,546.5,0.023479742676601037
ENSG00000148400-ENSG00000185559,0.05137246675828022,0.03787622188549187,0.5802190035907377,1092.0,1312.0,0.3090476127381148,1202.0,0.040976428910829366
ENSG00000188157-ENSG00000105426,0.33757788351267437,0.11034077239053203,0.3849049818261846,3665.0,20753.0,0.2476228771083583,12209.0,0.17305335162298074
ENSG00000091879-ENSG00000120156,0.0676787896715971,0.11244103048684455,0.013405786329040752,199.0,534.0,0.06292340840794265,366.5,0.03796629795024721
ENSG00000174600-ENSG00000106538,0.004339555164901166,0.04890435249616881,0.10941050286514468,178.0,437.0,0.07915742768065676,307.5,0.008870544698029972
ENSG00000017427-ENSG00000140443,0.056912059997190664,0.07967490130807457,0.0814150641758085,470.0,3321.0,0.08054498274194154,1895.5,0.037587363823138084
ENSG00000125510-ENSG00000168081,0.13407799711110133,0.24822938873279696,0.12040792147784955,3175.0,576.0,0.18431865510532325,1875.5,0.10711297233234991
ENSG00000162998-ENSG00000111186,-0.04588894640283387,0.23037288579539134,0.046946050896077174,518.0,236.0,0.13865946834573425,377.0,-0.010020721950397944
ENSG00000153208-ENSG00000183087,0.05570861049308754,0.05369483922657952,0.16755339421570564,1738.0,5167.0,0.11062411672114258,3452.5,0.0016743617617570056
ENSG00000119699-ENSG00000069702,0.10814319849513547,0.013374479389261796,0.08312944666746024,522.0,658.0,0.04825196302836102,590.0,0.022834448597797968
ENSG00000162552-ENSG00000162998,0.08698110616465851,0.1698442267840929,0.23037288579539134,1067.0,518.0,0.2001085562897421,792.5,0.06397330106791467
ENSG00000134250-ENSG00000184916,0.03521127340588802,0.06158736875980182,0.05216100330170297,686.0,939.0,0.056874186030752394,812.5,0.005523463067612429
ENSG00000114251-ENSG00000120057,0.04729091216461318,0.09683342058218357,0.1454391860994696,705.0,311.0,0.12113630334082659,508.0,0.025069009943383524
ENSG00000087494-ENSG00000160801,-0.021201035704733025,0.04233023193865707,0.016400227225674458,204.0,235.0,0.029365229582165767,219.5,-0.0045794430144057725
ENSG00000198910-ENSG00000198910,0.9999999999999998,0.3532565981522117,0.3532565981522117,6450.0,6450.0,0.3532565981522117,6450.0,0.3532565981522118
ENSG00000196576-ENSG00000168758,0.049350132667147835,0.13407967794295392,0.003015389290809476,1822.0,249.0,0.06854753361688169,1035.5,0.0026417386942840554
ENSG00000143590-ENSG00000116106,0.28865508801037104,0.1056121948414131,0.3653908891858487,2646.0,10136.0,0.2355015420136309,6391.0,0.0939548715902138
ENSG00000184349-ENSG00000135333,-0.00678973375646934,0.1701075556929116,0.3581086286958083,1767.0,4390.0,0.26410809219435993,3078.5,-0.024529485300366617
ENSG00000113389-ENSG00000163273,0.05130240176553906,0.12537089719892186,0.06072052880064233,554.0,358.0,0.0930457129997821,456.0,0.036724313002679185
ENSG00000136487-ENSG00000112964,0.04511018630790855,0.30517570999020277,0.07595996660132039,762.0,583.0,0.19056783829576157,672.5,0.04827368013032717
ENSG00000106123-ENSG00000108947,-0.1888595473927188,0.3371620891469939,0.30210108832955473,3192.0,4245.0,0.31963158873827435,3718.5,-0.17834261350464367
ENSG00000125266-ENSG00000154928,-0.021134253309700025,0.23574440891048465,0.08464406105623715,1592.0,2045.0,0.16019423498336088,1818.5,-0.03794635284914489
ENSG00000101144-ENSG00000152894,0.0680311256322399,0.17215333544993885,0.12264109046863005,360.0,1615.0,0.14739721295928446,987.5,0.007530912458523153
ENSG00000241563-ENSG00000180616,0.15158416239569955,0.13446189659991656,0.30081126094361343,613.0,1079.0,0.217636578771765,846.0,0.12039207987704215
ENSG00000101958-ENSG00000196937,0.08909866380782638,0.36597894842419265,0.31849774871153824,1349.0,6661.0,0.34223834856786545,4005.0,0.045674896506503464
ENSG00000100311-ENSG00000113721,0.0711140909670038,0.14600304325150237,0.04222553712269986,1735.0,617.0,0.09411429018710112,1176.0,0.016245456545396567
ENSG00000171587-ENSG00000065320,-0.006121776902270759,0.14749400560470793,0.021257657864127432,2680.0,588.0,0.08437583173441768,1634.0,0.012058818667245105
ENSG00000185559-ENSG00000134250,0.013886773537905071,0.5802190035907377,0.06158736875980182,1312.0,686.0,0.3209031861752698,999.0,0.014054260630175858
ENSG00000157168-ENSG00000171208,0.12600473509950427,0.056285363090797805,0.14772127951864142,1201.0,3826.0,0.10200332130471962,2513.5,0.05401213959216244
ENSG00000182985-ENSG00000177707,0.1611352654421532,0.493978281335841,0.22139401709045609,8867.0,1993.0,0.35768614921314856,5430.0,0.11112364681663907
ENSG00000148400-ENSG00000184916,0.0599828902499138,0.03787622188549187,0.05216100330170297,1092.0,939.0,0.04501861259359742,1015.5,0.019917090796531783
ENSG00000146469-ENSG00000114812,0.07487007815443032,0.14319332887713487,0.08656834152609977,1459.0,564.0,0.11488083520161732,1011.5,0.053839810791763795
ENSG00000162998-ENSG00000134245,0.020740959848228196,0.23037288579539134,0.130602496693065,518.0,346.0,0.18048769124422817,432.0,0.030092393607129814
ENSG00000198719-ENSG00000074181,-0.00492110044435207,0.031768255565975935,0.0223981351048492,189.0,339.0,0.027083195335412567,264.0,0.00976751208368157
ENSG00000170558-ENSG00000170558,1.0,0.20615496976826442,0.20615496976826442,4170.0,4170.0,0.20615496976826442,4170.0,0.20615496976826445
ENSG00000182578-ENSG00000157368,0.08939368036572229,0.04547308162267124,0.3151450979575979,1901.0,3108.0,0.18030908979013455,2504.5,0.07728380921201793
ENSG00000167244-ENSG00000197081,0.07625456623167849,0.26561222316196287,0.045685684981843,1121.0,1299.0,0.15564895407190293,1210.0,0.018322449737826107
ENSG00000081237-ENSG00000187764,0.04968378998080757,0.26600408066167325,0.06861154765011294,277.0,1493.0,0.1673078141558931,885.0,0.02616949413759201
ENSG00000184349-ENSG00000116106,0.1002109443388635,0.1701075556929116,0.3653908891858487,1767.0,10136.0,0.26774922243938015,5951.5,0.049968352725595765
ENSG00000135218-ENSG00000186340,0.048473509822252306,0.15980777188877746,0.0674037721994157,140.0,322.0,0.11360577204409658,231.0,0.015483262603070225
ENSG00000105426-ENSG00000140538,0.44785479122110394,0.3849049818261846,0.30994058807023395,20753.0,7956.0,0.3474227849482093,14354.5,0.2208344902289612
ENSG00000164050-ENSG00000187764,0.04484447700663028,0.08603017603609785,0.06861154765011294,1939.0,1493.0,0.0773208618431054,1716.0,0.04168250718922522
ENSG00000187094-ENSG00000110148,0.4079393727678624,0.495051043305075,0.3188477140483339,37162.0,2338.0,0.40694937867670444,19750.0,0.27266619166859307
ENSG00000099250-ENSG00000112715,-0.006903088324930401,0.11849250550042899,0.07192585020124798,797.0,2883.0,0.09520917785083849,1840.0,-0.006089381213332266
ENSG00000189056-ENSG00000147852,0.09963603920697488,0.2869954039031947,0.09828095758392229,2194.0,3143.0,0.1926381807435585,2668.5,0.08908899715869037
ENSG00000065320-ENSG00000187323,0.028710723526997745,0.021257657864127432,0.13849148326303745,588.0,1152.0,0.07987457056358244,870.0,0.025173186778162517
ENSG00000188157-ENSG00000149294,0.22565546691174362,0.11034077239053203,0.3119114522229659,3665.0,11177.0,0.21112611230674896,7421.0,0.10444720509803591
ENSG00000157168-ENSG00000205213,0.07044717016377347,0.056285363090797805,0.09389092321904398,1201.0,2024.0,0.07508814315492089,1612.5,0.018038146395919125
ENSG00000108379-ENSG00000104332,-0.04684177714170648,0.29000194442177624,0.05510095177287649,552.0,208.0,0.17255144809732637,380.0,-0.044489389095591136
ENSG00000102755-ENSG00000173511,0.028998755454691286,0.03466268024480357,0.104602476294144,1555.0,6415.0,0.06963257826947378,3985.0,0.03962954976855104
ENSG00000147655-ENSG00000205213,0.0017702756415803385,0.25633925060659235,0.09389092321904398,648.0,2024.0,0.17511508691281816,1336.0,0.010556604350841341
ENSG00000162998-ENSG00000135925,0.21732688737298303,0.23037288579539134,0.19455214897982118,518.0,675.0,0.21246251738760624,596.5,0.11702776025685513
ENSG00000074181-ENSG00000184916,0.027835166466515338,0.0223981351048492,0.05216100330170297,339.0,939.0,0.03727956920327609,639.0,0.022618374233843185
ENSG00000157404-ENSG00000049130,-0.022614619943864645,0.11479833846483145,0.2255149446700141,1422.0,1163.0,0.17015664156742277,1292.5,-0.05198716445608402
ENSG00000065320-ENSG00000107731,0.03569718302895512,0.021257657864127432,0.1323094333039224,588.0,945.0,0.0767835455840249,766.5,0.007555581636804992
ENSG00000105989-ENSG00000162998,0.004434843522910178,0.06590264305385186,0.23037288579539134,197.0,518.0,0.1481377644246216,357.5,0.009453950398525139
ENSG00000090932-ENSG00000074181,-0.03609470614562944,0.036746824770036664,0.0223981351048492,246.0,339.0,0.02957247993744293,292.5,0.008138107954454155
ENSG00000148400-ENSG00000136999,-0.021793307932422217,0.03787622188549187,0.5800874774977485,1092.0,5782.0,0.3089818496916202,3437.0,0.008178135660103293
ENSG00000125266-ENSG00000182580,0.05991732713056664,0.23574440891048465,0.12613784673202025,1592.0,1049.0,0.18094112782125243,1320.5,0.053735738322989224
ENSG00000182985-ENSG00000182985,0.9999999999999999,0.493978281335841,0.493978281335841,8867.0,8867.0,0.493978281335841,8867.0,0.4939782813358411
ENSG00000019991-ENSG00000026508,0.011145237402849506,0.12251391255214945,0.06723347976832687,338.0,247.0,0.09487369616023816,292.5,-0.013416138205857532
ENSG00000114251-ENSG00000152894,0.06696793431013115,0.09683342058218357,0.12264109046863005,705.0,1615.0,0.10973725552540681,1160.0,0.010677694858717593
ENSG00000117335-ENSG00000101384,-0.016661488884518853,0.005354897417504825,0.029802099557385837,440.0,368.0,0.017578498487445332,404.0,0.018246122447757564
ENSG00000189056-ENSG00000157193,0.10906740794893102,0.2869954039031947,0.14291996564846804,2194.0,3227.0,0.21495768477583138,2710.5,0.09867114589147429
ENSG00000067182-ENSG00000030582,0.08522131346471482,0.05025948940052639,0.09463070912911017,908.0,2147.0,0.07244509926481828,1527.5,0.037890543445958616
ENSG00000128052-ENSG00000150630,0.04234487172381738,0.03427827652086624,0.02385511984253961,513.0,303.0,0.029066698181702925,408.0,0.014051116082841366
ENSG00000081138-ENSG00000081138,1.0,0.061204468105837434,0.061204468105837434,1140.0,1140.0,0.061204468105837434,1140.0,0.06120446810583744
ENSG00000154721-ENSG00000166086,0.06201102288272259,0.09858908277215216,0.06559863973620329,2147.0,1686.0,0.08209386125417772,1916.5,0.030253309463155596
ENSG00000069702-ENSG00000163377,0.022909972358857313,0.08312944666746024,0.3215437281997167,658.0,267.0,0.20233658743358848,462.5,0.0028645859010073093
