,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000184371-ENSG00000008300,0.011779539491177448,0.011116873402459083,0.10813483695861638,131.0,2390.0,0.05962585518053773,1260.5,0.0031264679220659847
ENSG00000148053-ENSG00000074527,0.07595974996441651,0.3275970375455802,0.02299357705534778,19957.0,438.0,0.175295307300464,10197.5,0.03860027234119647
ENSG00000148346-ENSG00000092096,-0.010994852529942456,0.11619017863620505,0.513514412770245,256.0,32495.0,0.31485229570322504,16375.5,0.020163609703045732
ENSG00000185652-ENSG00000148053,0.09435745789733375,0.20021725543055163,0.3275970375455802,196.0,19957.0,0.2639071464880659,10076.5,0.046188574625480434
ENSG00000188064-ENSG00000156076,0.013036573435134386,0.25106985187876196,0.10087147334332185,1917.0,95.0,0.1759706626110419,1006.0,0.001510653277595209
ENSG00000064300-ENSG00000176697,-0.07761911719890964,0.07708094722611326,0.25381464809436527,135.0,2508.0,0.16544779766023926,1321.5,-0.07229604845647614
ENSG00000019582-ENSG00000142192,-0.04519426725403772,0.15289229995849993,0.35998961434981663,593.0,101585.0,0.25644095715415827,51089.0,-0.016147275467668223
ENSG00000105894-ENSG00000171094,0.036647035716363796,0.5473708217593684,0.06728486048709371,26544.0,591.0,0.307327841123231,13567.5,0.028352820386206037
ENSG00000185652-ENSG00000140538,0.32380955886029267,0.20021725543055163,0.30994058807023395,196.0,7956.0,0.2550789217503928,4076.0,0.1666680354634966
ENSG00000134250-ENSG00000018236,0.003468765318134049,0.06158736875980182,0.32591100288040337,686.0,15326.0,0.1937491858201026,8006.0,0.005871881766960761
ENSG00000115138-ENSG00000112038,0.056630440710242515,0.06604686783141182,0.408488062628039,77.0,2230.0,0.23726746522972542,1153.5,0.07185305552677286
ENSG00000028137-ENSG00000030582,0.043294920059395454,0.0017563041039122666,0.09463070912911017,118.0,2147.0,0.04819350661651122,1132.5,0.0005917295121575061
ENSG00000105989-ENSG00000156076,-0.017263764449536555,0.06590264305385186,0.10087147334332185,197.0,95.0,0.08338705819858686,146.0,-0.0015354647082718303
ENSG00000101200-ENSG00000180914,0.024364562860705947,0.13854214026868936,0.1222523702998093,79.0,330.0,0.13039725528424934,204.5,0.023727388181857188
ENSG00000158955-ENSG00000104332,-0.034377096525366004,0.2180208805657548,0.05510095177287649,111.0,208.0,0.13656091616931565,159.5,-0.031552217525049345
ENSG00000130283-ENSG00000164270,0.15527152777982706,0.23982769687466815,0.20095534027374026,7636.0,482.0,0.2203915185742042,4059.0,0.06414934574000598
ENSG00000137642-ENSG00000163377,-0.12838983326378936,0.4216117470008011,0.3215437281997167,12576.0,267.0,0.3715777376002589,6421.5,-0.12395448102759037
ENSG00000196411-ENSG00000108947,0.030295713048405126,0.01733083575536179,0.30210108832955473,160.0,4245.0,0.15971596204245825,2202.5,0.011336295924119673
ENSG00000158955-ENSG00000120057,0.031077558258438734,0.2180208805657548,0.1454391860994696,111.0,311.0,0.1817300333326122,211.0,0.02066662837914383
ENSG00000072274-ENSG00000102524,-0.006684905072225598,0.1354193604680661,0.02234359695817196,5800.0,123.0,0.07888147871311903,2961.5,-0.0033799417821943857
ENSG00000154134-ENSG00000184613,0.1585414019005789,0.24832407302923518,0.3861812481168325,898.0,29120.0,0.31725266057303386,15009.0,0.042070253692391466
ENSG00000145423-ENSG00000115596,-0.008265186303983443,0.07744911208493535,0.08136775134273244,132.0,72.0,0.0794084317138339,102.0,0.007535785644413533
ENSG00000115138-ENSG00000082556,-0.008460818137251764,0.06604686783141182,0.12713893878564403,77.0,282.0,0.09659290330852793,179.5,0.009818364732998406
ENSG00000115138-ENSG00000116329,-0.019008802088332624,0.06604686783141182,0.08041482942228112,77.0,656.0,0.07323084862684648,366.5,-0.012533502910916546
ENSG00000104332-ENSG00000115596,0.17226046364350733,0.05510095177287649,0.08136775134273244,208.0,72.0,0.06823435155780447,140.0,0.03207295677396758
ENSG00000156427-ENSG00000068078,0.07002163787329613,0.0175967612500004,0.1372940613418603,135.0,3321.0,0.07744541129593036,1728.0,0.029112595805186377
ENSG00000066468-ENSG00000070388,0.03961851022798052,0.19259168306818622,0.016456713646253406,2739.0,197.0,0.10452419835721981,1468.0,0.011875020302697614
ENSG00000149294-ENSG00000168621,-0.008915226814503312,0.3119114522229659,0.06054081412522194,11177.0,34.0,0.18622613317409392,5605.5,-0.022755748416913035
ENSG00000169836-ENSG00000166863,0.033164435051390266,0.2068191803175798,0.3259130799932437,146.0,2355.0,0.2663661301554118,1250.5,0.042156574567752715
ENSG00000162552-ENSG00000156076,-0.00847807793795156,0.1698442267840929,0.10087147334332185,1067.0,95.0,0.13535785006370737,581.0,-0.004777046022291416
ENSG00000110400-ENSG00000143217,0.049365409709759195,0.2807147377060161,0.08957677739362704,4033.0,348.0,0.1851457575498216,2190.5,0.005735503414391469
ENSG00000278195-ENSG00000157005,0.13085854989283677,0.12228271087402512,0.35282841193090436,726.0,22430.0,0.23755556140246475,11578.0,0.1049968335929873
ENSG00000156427-ENSG00000066468,0.02189334738940771,0.0175967612500004,0.19259168306818622,135.0,2739.0,0.10509422215909331,1437.0,0.03277984248683482
