,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000158955-ENSG00000145423,-0.03316721270906117,0.2180208805657548,0.07744911208493535,111.0,132.0,0.1477349963253451,121.5,-0.01781196097157617
ENSG00000111186-ENSG00000156076,0.02685894179845445,0.046946050896077174,0.10087147334332185,236.0,95.0,0.07390876211969952,165.5,0.03343946012122956
ENSG00000118271-ENSG00000064300,0.07453301222560531,0.2532031085510031,0.07708094722611326,51982.0,135.0,0.16514202788855817,26058.5,-0.0012362288757057794
ENSG00000162998-ENSG00000115596,0.010570195395326267,0.23037288579539134,0.08136775134273244,518.0,72.0,0.1558703185690619,295.0,-0.006038409468697756
ENSG00000158955-ENSG00000162998,-0.0560529199584287,0.2180208805657548,0.23037288579539134,111.0,518.0,0.22419688318057307,314.5,-0.059275290013532864
ENSG00000134245-ENSG00000156076,0.11309670491828056,0.130602496693065,0.10087147334332185,346.0,95.0,0.11573698501819343,220.5,0.08160738761352052
ENSG00000141433-ENSG00000106018,-0.05350421304617405,0.31867027459576713,0.13098107632970368,1195.0,105.0,0.2248256754627354,650.0,-0.05004431588016154
ENSG00000172349-ENSG00000161509,-0.003643817788086686,0.2656515094117572,0.21639858048024355,247.0,2440.0,0.24102504494600036,1343.5,0.0013874211666793368
ENSG00000105989-ENSG00000145423,-0.023769267971943377,0.06590264305385186,0.07744911208493535,197.0,132.0,0.07167587756939361,164.5,-0.010023612955806572
ENSG00000134259-ENSG00000134243,0.09650762622369885,0.06962603129853046,0.2367682792392102,361.0,7708.0,0.15319715526887034,4034.5,0.04203698900821776
ENSG00000091831-ENSG00000176697,0.037896177755485976,0.1659868290350624,0.25381464809436527,239.0,2508.0,0.20990073856471383,1373.5,0.021990212905864365
