,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000261371-ENSG00000004468,0.009687045317868907,0.00998964018049493,0.03824511349201598,465.0,138.0,0.024117376836255457,301.5,0.006400490673249134
ENSG00000112715-ENSG00000128052,0.01996319762070017,0.07192585020124798,0.03427827652086624,2883.0,513.0,0.053102063361057106,1698.0,0.025139018037180758
ENSG00000125266-ENSG00000196411,0.016527076428085655,0.23574440891048465,0.01733083575536179,1592.0,160.0,0.1265376223329232,876.0,0.004296755358927875
ENSG00000143816-ENSG00000145423,-0.012029469979250588,0.13260251922416527,0.07744911208493535,762.0,132.0,0.10502581565455031,447.0,-0.01445187156115478
ENSG00000105989-ENSG00000104332,-0.040016408159902546,0.06590264305385186,0.05510095177287649,197.0,208.0,0.06050179741336417,202.5,0.007399912387764829
ENSG00000146469-ENSG00000197635,0.004168542359825762,0.14319332887713487,0.04292122871046228,1459.0,220.0,0.09305727879379858,839.5,0.01970297267112871
ENSG00000087494-ENSG00000144407,0.009770254360820426,0.04233023193865707,0.05116611743871826,204.0,218.0,0.046748174688687666,211.0,0.013589735357198382
ENSG00000169242-ENSG00000145242,0.017779794305247894,0.006726799701227392,0.35659920954629226,304.0,4427.0,0.18166300462375984,2365.5,0.008579699591879703
ENSG00000105894-ENSG00000106278,0.14858646871188022,0.5473708217593684,0.2669789333364002,26544.0,8392.0,0.4071748775478843,17468.0,0.09417491713047231
ENSG00000064300-ENSG00000185652,-0.024504885750260948,0.07708094722611326,0.20021725543055163,135.0,196.0,0.13864910132833244,165.5,-0.0262222599354373
ENSG00000099617-ENSG00000145242,0.10025399229273158,0.020419282893247775,0.35659920954629226,320.0,4427.0,0.18850924621977003,2373.5,0.04416543607260689
ENSG00000138685-ENSG00000077782,0.10912116793181999,0.027244612596540065,0.32349875537430406,292.0,3468.0,0.17537168398542205,1880.0,0.06307508402539655
ENSG00000138685-ENSG00000066468,0.02387488939357682,0.027244612596540065,0.19259168306818622,292.0,2739.0,0.10991814783236314,1515.5,0.013492463884234595
