,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000154639-ENSG00000196937,0.1631203033510693,0.07097699511938084,0.31849774871153824,917.0,6661.0,0.19473737191545953,3789.0,0.09534072740275425
ENSG00000148400-ENSG00000018236,0.016667714751714403,0.03787622188549187,0.32591100288040337,1092.0,15326.0,0.18189361238294763,8209.0,0.025324824777301705
ENSG00000198719-ENSG00000134250,-0.010022308675385989,0.031768255565975935,0.06158736875980182,189.0,686.0,0.04667781216288888,437.5,0.020058563156214907
ENSG00000072274-ENSG00000091513,-0.17736300157830048,0.1354193604680661,0.6247526029333325,5800.0,13851.0,0.3800859817006993,9825.5,-0.14956305792814867
ENSG00000146648-ENSG00000157168,0.015889000161339265,0.06256688110475374,0.056285363090797805,362.0,1201.0,0.05942612209777577,781.5,0.0005564662179319611
ENSG00000091831-ENSG00000066468,-0.007767409424520129,0.1659868290350624,0.19259168306818622,239.0,2739.0,0.17928925605162432,1489.0,-0.016400228271734242
ENSG00000196411-ENSG00000090776,0.03541368412546072,0.01733083575536179,0.12207678145137293,160.0,725.0,0.06970380860336736,442.5,0.02010109199504661
