,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000006128-ENSG00000115353,0.19152118033756566,0.3834181550859104,0.10743035239679535,1901.0,130.0,0.24542425374135285,1015.5,0.12156937979022255
ENSG00000099617-ENSG00000135333,0.11812345883113362,0.020419282893247775,0.3581086286958083,320.0,4390.0,0.18926395579452804,2355.0,0.053520349680056235
ENSG00000187266-ENSG00000049130,0.030537032970895737,0.00984157699787922,0.2255149446700141,160.0,1163.0,0.11767826083394665,661.5,-0.011706468914461173
ENSG00000169242-ENSG00000135333,0.04162776702830313,0.006726799701227392,0.3581086286958083,304.0,4390.0,0.18241771419851785,2347.0,0.014234464949566017
