,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000072071-ENSG00000157168,0.12267158890910629,0.26224239615456046,0.056285363090797805,7535.0,1201.0,0.15926387962267913,4368.0,0.06390868357133199
ENSG00000169418-ENSG00000163273,-0.019438423049508026,0.10301435420062494,0.06072052880064233,137.0,358.0,0.08186744150063363,247.5,-0.014104217051377994
ENSG00000116106-ENSG00000090776,-0.02281566638328139,0.3653908891858487,0.12207678145137293,10136.0,725.0,0.24373383531861081,5430.5,-0.044062404330111646
