,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000163485-ENSG00000138185,0.0054799283252329155,0.2890670849678429,0.016588637081364738,6182.0,711.0,0.15282786102460383,3446.5,-0.010840482874869132
ENSG00000185896-ENSG00000196937,0.11762436591728541,0.1958075129005446,0.31849774871153824,13357.0,6661.0,0.25715263080604145,10009.0,0.06221351768184819
ENSG00000154764-ENSG00000145423,0.09496787411911473,0.06917204539368586,0.07744911208493535,684.0,132.0,0.0733105787393106,408.0,0.03808306045499921
ENSG00000114251-ENSG00000145423,0.026114251505740062,0.09683342058218357,0.07744911208493535,705.0,132.0,0.08714126633355945,418.5,0.03085393194588867
ENSG00000129219-ENSG00000143761,0.042945886067143536,0.027748172053254565,0.2664338714377137,556.0,8973.0,0.14709102174548414,4764.5,0.037970999219351376
ENSG00000154764-ENSG00000156076,-0.011266965393795101,0.06917204539368586,0.10087147334332185,684.0,95.0,0.08502175936850385,389.5,0.014858590718611295
