,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000182168-ENSG00000065320,-0.030489420495876964,0.13338647378142832,0.021257657864127432,1634.0,588.0,0.07732206582277787,1111.0,0.012866552029159735
ENSG00000176697-ENSG00000148053,0.25007778101606937,0.25381464809436527,0.3275970375455802,2508.0,19957.0,0.29070584281997275,11232.5,0.13427593640961846
ENSG00000112902-ENSG00000198753,0.05827555548305372,0.36748107345136743,0.13082997566907278,2314.0,823.0,0.2491555245602201,1568.5,0.026188955549079015
ENSG00000114251-ENSG00000135333,0.0032550783243931367,0.09683342058218357,0.3581086286958083,705.0,4390.0,0.22747102463899593,2547.5,-0.005262900261405561
ENSG00000070018-ENSG00000171243,0.16502578787554523,0.057051617743886555,0.23573806838018513,2410.0,258.0,0.14639484306203585,1334.0,0.042453887056649764
ENSG00000110400-ENSG00000177707,0.19321111630517776,0.2807147377060161,0.22139401709045609,4033.0,1993.0,0.2510543773982361,3013.0,0.1348929723579581
ENSG00000106123-ENSG00000125266,0.08387671442498475,0.3371620891469939,0.23574440891048465,3192.0,1592.0,0.28645324902873925,2392.0,0.05518044609431422
ENSG00000044524-ENSG00000143590,0.07579845775890173,0.054806876061120544,0.1056121948414131,312.0,2646.0,0.08020953545126683,1479.0,0.04501557653827337
ENSG00000170775-ENSG00000197746,-0.14593275189309501,0.336642535147827,0.40610749035215055,3662.0,55082.0,0.37137501274998874,29372.0,-0.13985369119835048
ENSG00000241563-ENSG00000132671,0.1235857051039018,0.13446189659991656,0.22001571273564352,613.0,1715.0,0.17723880466778003,1164.0,0.08164759760224252
ENSG00000113361-ENSG00000113361,1.0,0.15327815224788643,0.15327815224788643,1371.0,1371.0,0.15327815224788643,1371.0,0.15327815224788646
ENSG00000128271-ENSG00000105835,-0.019707016550975048,0.5064206935613547,0.04224034180851153,631.0,1818.0,0.2743305176849331,1224.5,-0.01999951649990672
ENSG00000118257-ENSG00000075223,0.07308016451710084,0.4135239587197943,0.0658296923861646,1776.0,847.0,0.23967682555297945,1311.5,0.03760839695994321
ENSG00000019582-ENSG00000240972,-0.005453443382331573,0.15289229995849993,0.2593084967215386,593.0,8287.0,0.20610039834001925,4440.0,0.005822959901197936
ENSG00000149564-ENSG00000149564,0.9999999999999999,0.014451224518442593,0.014451224518442593,966.0,966.0,0.014451224518442593,966.0,0.014451224518442593
ENSG00000112715-ENSG00000102755,0.040298391593881044,0.07192585020124798,0.03466268024480357,2883.0,1555.0,0.05329426522302577,2219.0,0.035550585124424605
ENSG00000181195-ENSG00000116329,0.08544235218606128,0.619413665737906,0.08041482942228112,7805.0,656.0,0.3499142475800936,4230.5,0.05031368751747971
ENSG00000019582-ENSG00000122218,0.026677187290784846,0.15289229995849993,0.18700284019591368,593.0,8498.0,0.1699475700772068,4545.5,0.012762631644831896
ENSG00000154928-ENSG00000090776,0.042726990879332016,0.08464406105623715,0.12207678145137293,2045.0,725.0,0.10336042125380504,1385.0,-0.017474864714634185
ENSG00000181195-ENSG00000112038,-0.0037085633767448044,0.619413665737906,0.408488062628039,7805.0,2230.0,0.5139508641829725,5017.5,-0.0037824014958340313
ENSG00000066468-ENSG00000153233,-0.04326817551645843,0.19259168306818622,0.12971430825730185,2739.0,780.0,0.16115299566274405,1759.5,-0.04655183711574375
ENSG00000116106-ENSG00000108947,-0.04068954672015211,0.3653908891858487,0.30210108832955473,10136.0,4245.0,0.33374598875770173,7190.5,-0.08600760665242188
ENSG00000167244-ENSG00000119912,0.0525247182751961,0.26561222316196287,0.050696703415582266,1121.0,2506.0,0.15815446328877256,1813.5,-0.005250069484884427
ENSG00000167244-ENSG00000140443,0.05558186601921585,0.26561222316196287,0.0814150641758085,1121.0,3321.0,0.1735136436688857,2221.0,0.00576221944548625
ENSG00000161610-ENSG00000137252,0.11058414994462357,0.4050316687327654,0.06822066743733814,5910.0,156.0,0.23662616808505177,3033.0,0.07165701723117966
ENSG00000133636-ENSG00000134243,-0.051254597931165644,0.4045342502292037,0.2367682792392102,980.0,7708.0,0.32065126473420696,4344.0,-0.06207980355327413
ENSG00000118257-ENSG00000112715,0.03959434948712724,0.4135239587197943,0.07192585020124798,1776.0,2883.0,0.24272490446052114,2329.5,0.02270039635040592
ENSG00000066468-ENSG00000112149,0.02503943865605399,0.19259168306818622,0.21996443828304904,2739.0,923.0,0.20627806067561763,1831.0,0.004762769826911827
ENSG00000176697-ENSG00000158769,0.01794901669196744,0.25381464809436527,0.040187605935914306,2508.0,674.0,0.1470011270151398,1591.0,-0.006415676076671231
ENSG00000135414-ENSG00000169604,0.03292105737529817,0.332673491398076,0.010764445522541096,2261.0,735.0,0.17171896846030854,1498.0,0.004764469128165619
ENSG00000113578-ENSG00000066468,0.1498917677789351,0.22086305575452264,0.19259168306818622,2885.0,2739.0,0.20672736941135444,2812.0,0.12549379914527226
ENSG00000066468-ENSG00000102678,0.014512449610209383,0.19259168306818622,0.09875335348220497,2739.0,1601.0,0.1456725182751956,2170.0,0.007274944794297165
