,adj1,adj2,adj3,adj4
ENSG00000109255-ENSG00000171596,0.0,1.0,0.0,0.0
ENSG00000196937-ENSG00000069493,0.0,0.0,0.0,0.0
ENSG00000182578-ENSG00000157368,0.0,0.0,0.0,0.0
ENSG00000134250-ENSG00000090932,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000187122-ENSG00000169855,0.0,0.0,0.0,0.0
ENSG00000114251-ENSG00000169071,0.0,1.0,0.0,0.0
ENSG00000140285-ENSG00000068078,0.0,1.0,0.0,0.0
ENSG00000139292-ENSG00000147655,0.0,0.0,0.0,0.0
ENSG00000163823-ENSG00000108688,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000146904,0.0,0.0,0.0,0.0
ENSG00000105835-ENSG00000171631,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000107014-ENSG00000133105,0.0,0.0,0.0,0.0
ENSG00000171587-ENSG00000065320,0.0,0.0,0.0,0.0
ENSG00000134755-ENSG00000046604,0.0,1.0,0.0,0.0
ENSG00000196411-ENSG00000108947,0.0,1.0,0.0,0.0
ENSG00000182985-ENSG00000177707,0.0,0.0,0.0,0.0
ENSG00000101200-ENSG00000166148,0.0,0.0,0.0,0.0
ENSG00000125084-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000188883-ENSG00000111186,0.0,0.0,0.0,0.0
ENSG00000105976-ENSG00000019991,0.0,1.0,0.0,0.0
ENSG00000179776-ENSG00000179776,0.0,1.0,0.0,0.0
ENSG00000110400-ENSG00000143217,0.0,1.0,0.0,0.0
ENSG00000145423-ENSG00000002745,0.0,0.0,0.0,0.0
ENSG00000105989-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000139269-ENSG00000114739,0.0,0.0,0.0,0.0
ENSG00000122025-ENSG00000090554,0.0,1.0,0.0,0.0
ENSG00000184500-ENSG00000092445,0.0,0.0,0.0,0.0
ENSG00000181092-ENSG00000069493,0.0,1.0,0.0,0.0
ENSG00000273079-ENSG00000172349,0.0,1.0,0.0,0.0
ENSG00000134760-ENSG00000134755,0.0,0.0,0.0,0.0
ENSG00000146072-ENSG00000142192,0.0,1.0,0.0,0.0
ENSG00000232810-ENSG00000105426,0.0,1.0,0.0,0.0
ENSG00000106113-ENSG00000145040,0.0,0.0,0.0,0.0
ENSG00000157404-ENSG00000049130,0.0,1.0,0.0,0.0
ENSG00000148053-ENSG00000074527,0.0,0.0,0.0,0.0
ENSG00000106178-ENSG00000183625,0.0,1.0,0.0,0.0
ENSG00000159723-ENSG00000176136,0.0,0.0,0.0,0.0
ENSG00000091879-ENSG00000120156,0.0,0.0,0.0,0.0
ENSG00000114251-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000046604-ENSG00000134762,0.0,0.0,0.0,0.0
ENSG00000132170-ENSG00000172156,0.0,0.0,0.0,0.0
ENSG00000182985-ENSG00000182985,0.0,1.0,0.0,0.0
ENSG00000130283-ENSG00000164270,0.0,0.0,0.0,0.0
ENSG00000037280-ENSG00000145431,0.0,0.0,0.0,0.0
ENSG00000125845-ENSG00000128602,0.0,1.0,0.0,0.0
ENSG00000169836-ENSG00000166863,0.0,0.0,0.0,0.0
ENSG00000112902-ENSG00000198753,0.0,1.0,0.0,0.0
ENSG00000154342-ENSG00000162998,0.0,0.0,0.0,0.0
ENSG00000068078-ENSG00000110400,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000112149,0.0,1.0,0.0,0.0
ENSG00000144648-ENSG00000275302,0.0,0.0,0.0,0.0
ENSG00000163823-ENSG00000275718,0.0,1.0,0.0,0.0
ENSG00000197471-ENSG00000088827,0.0,1.0,0.0,0.0
ENSG00000232629-ENSG00000172179,0.0,0.0,0.0,0.0
ENSG00000070886-ENSG00000143590,0.0,1.0,0.0,0.0
ENSG00000226979-ENSG00000157873,0.0,1.0,0.0,0.0
ENSG00000110492-ENSG00000106278,0.0,1.0,0.0,0.0
ENSG00000165197-ENSG00000128052,0.0,0.0,0.0,0.0
ENSG00000106483-ENSG00000002745,0.0,0.0,0.0,0.0
ENSG00000119973-ENSG00000071677,0.0,1.0,0.0,0.0
ENSG00000112715-ENSG00000128052,0.0,0.0,0.0,0.0
ENSG00000276085-ENSG00000163823,0.0,1.0,0.0,0.0
ENSG00000183671-ENSG00000183662,0.0,0.0,0.0,0.0
ENSG00000183671-ENSG00000106538,0.0,0.0,0.0,0.0
ENSG00000070031-ENSG00000114812,0.0,0.0,0.0,0.0
ENSG00000162706-ENSG00000182985,0.0,1.0,0.0,0.0
ENSG00000081237-ENSG00000187764,0.0,0.0,0.0,0.0
ENSG00000072274-ENSG00000091513,0.0,0.0,0.0,0.0
ENSG00000240505-ENSG00000102524,0.0,1.0,0.0,0.0
ENSG00000186810-ENSG00000115009,0.0,1.0,0.0,0.0
ENSG00000120057-ENSG00000075290,0.0,0.0,0.0,0.0
ENSG00000147869-ENSG00000134245,0.0,0.0,0.0,0.0
ENSG00000135046-ENSG00000171051,0.0,0.0,0.0,0.0
ENSG00000160801-ENSG00000142538,0.0,0.0,0.0,0.0
ENSG00000147869-ENSG00000125084,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000119912-ENSG00000274736,0.0,0.0,0.0,0.0
ENSG00000141433-ENSG00000078549,0.0,1.0,0.0,0.0
ENSG00000125730-ENSG00000171860,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000113578-ENSG00000077782,0.0,0.0,0.0,0.0
ENSG00000161610-ENSG00000121764,0.0,1.0,0.0,0.0
ENSG00000118702-ENSG00000114812,0.0,0.0,0.0,0.0
ENSG00000163794-ENSG00000106113,0.0,0.0,0.0,0.0
ENSG00000091831-ENSG00000166090,0.0,0.0,0.0,0.0
ENSG00000158955-ENSG00000120057,0.0,0.0,0.0,0.0
ENSG00000121989-ENSG00000175189,0.0,0.0,0.0,0.0
ENSG00000148400-ENSG00000018236,0.0,0.0,0.0,0.0
ENSG00000232810-ENSG00000163600,0.0,1.0,0.0,0.0
ENSG00000116106-ENSG00000090776,0.0,0.0,0.0,0.0
ENSG00000159899-ENSG00000163273,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000002745,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000106483,0.0,1.0,0.0,0.0
ENSG00000133216-ENSG00000108947,0.0,1.0,0.0,0.0
ENSG00000087494-ENSG00000160801,0.0,1.0,0.0,0.0
ENSG00000128564-ENSG00000198400,0.0,0.0,0.0,0.0
ENSG00000277632-ENSG00000163823,0.0,1.0,0.0,0.0
ENSG00000006638-ENSG00000157017,0.0,0.0,0.0,0.0
ENSG00000241563-ENSG00000278195,0.0,1.0,0.0,0.0
ENSG00000184371-ENSG00000139514,0.0,0.0,0.0,0.0
ENSG00000113389-ENSG00000188729,0.0,0.0,0.0,0.0
ENSG00000157168-ENSG00000110079,0.0,0.0,0.0,0.0
ENSG00000090339-ENSG00000197471,0.0,0.0,0.0,0.0
ENSG00000126262-ENSG00000232810,0.0,1.0,0.0,0.0
ENSG00000115263-ENSG00000112164,0.0,1.0,0.0,0.0
ENSG00000118785-ENSG00000171522,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000276070-ENSG00000175514,0.0,1.0,0.0,0.0
ENSG00000184371-ENSG00000008300,0.0,1.0,0.0,0.0
ENSG00000044524-ENSG00000184349,0.0,0.0,0.0,0.0
ENSG00000101282-ENSG00000133067,0.0,1.0,0.0,0.0
ENSG00000180616-ENSG00000157005,0.0,1.0,0.0,0.0
ENSG00000138685-ENSG00000068078,0.0,0.0,0.0,0.0
ENSG00000186895-ENSG00000068078,0.0,0.0,0.0,0.0
ENSG00000146904-ENSG00000243364,0.0,0.0,0.0,0.0
ENSG00000152266-ENSG00000144407,0.0,0.0,0.0,0.0
ENSG00000108379-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000178568-ENSG00000169752,0.0,0.0,0.0,0.0
ENSG00000026508-ENSG00000197046,0.0,0.0,0.0,0.0
ENSG00000233816-ENSG00000117322,0.0,1.0,0.0,0.0
ENSG00000013725-ENSG00000170017,0.0,0.0,0.0,0.0
ENSG00000241563-ENSG00000180616,0.0,1.0,0.0,0.0
ENSG00000115138-ENSG00000166603,0.0,0.0,0.0,0.0
ENSG00000113580-ENSG00000136634,0.0,0.0,0.0,0.0
ENSG00000176697-ENSG00000134243,0.0,1.0,0.0,0.0
ENSG00000128917-ENSG00000074181,0.0,0.0,0.0,0.0
ENSG00000044524-ENSG00000143590,0.0,1.0,0.0,0.0
ENSG00000102755-ENSG00000119630,0.0,0.0,0.0,0.0
ENSG00000198719-ENSG00000148400,0.0,0.0,0.0,0.0
ENSG00000075290-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000147869-ENSG00000114251,0.0,0.0,0.0,0.0
ENSG00000120057-ENSG00000061492,0.0,0.0,0.0,0.0
ENSG00000180210-ENSG00000178726,0.0,0.0,0.0,0.0
ENSG00000125084-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000154764-ENSG00000147869,0.0,0.0,0.0,0.0
ENSG00000167244-ENSG00000140443,0.0,1.0,0.0,0.0
ENSG00000121858-ENSG00000137275,0.0,0.0,0.0,0.0
ENSG00000185559-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000085741-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000232810-ENSG00000028137,0.0,1.0,0.0,0.0
ENSG00000123384-ENSG00000178752,0.0,1.0,0.0,0.0
ENSG00000241563-ENSG00000121853,0.0,0.0,0.0,0.0
ENSG00000115263-ENSG00000215644,0.0,1.0,0.0,0.0
ENSG00000121989-ENSG00000139269,0.0,0.0,0.0,0.0
ENSG00000113889-ENSG00000173080,0.0,1.0,0.0,0.0
ENSG00000120659-ENSG00000141655,0.0,0.0,0.0,0.0
ENSG00000140009-ENSG00000175505,0.0,0.0,0.0,0.0
ENSG00000213088-ENSG00000102970,0.0,0.0,0.0,0.0
ENSG00000197919-ENSG00000117322,0.0,1.0,0.0,0.0
ENSG00000101144-ENSG00000117090,0.0,0.0,0.0,0.0
ENSG00000196352-ENSG00000123146,0.0,1.0,0.0,0.0
ENSG00000125266-ENSG00000154928,0.0,1.0,0.0,0.0
ENSG00000144407-ENSG00000142538,0.0,0.0,0.0,0.0
ENSG00000101200-ENSG00000126895,0.0,0.0,0.0,0.0
ENSG00000243364-ENSG00000135333,0.0,0.0,0.0,0.0
ENSG00000114251-ENSG00000185483,0.0,1.0,0.0,0.0
ENSG00000106178-ENSG00000121807,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000153233,0.0,0.0,0.0,0.0
ENSG00000161955-ENSG00000026103,0.0,1.0,0.0,0.0
ENSG00000172349-ENSG00000161509,0.0,0.0,0.0,0.0
ENSG00000072274-ENSG00000010704,0.0,0.0,0.0,0.0
ENSG00000161955-ENSG00000157873,0.0,1.0,0.0,0.0
ENSG00000147655-ENSG00000133067,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000134245,0.0,1.0,0.0,0.0
ENSG00000091972-ENSG00000163606,0.0,0.0,0.0,0.0
ENSG00000111796-ENSG00000069493,0.0,1.0,0.0,0.0
ENSG00000113578-ENSG00000066468,0.0,0.0,0.0,0.0
ENSG00000169245-ENSG00000186810,0.0,1.0,0.0,0.0
ENSG00000121807-ENSG00000172156,0.0,1.0,0.0,0.0
ENSG00000226979-ENSG00000067182,0.0,0.0,0.0,0.0
ENSG00000248099-ENSG00000171509,0.0,0.0,0.0,0.0
ENSG00000164040-ENSG00000276070,0.0,0.0,0.0,0.0
ENSG00000196576-ENSG00000168758,0.0,1.0,0.0,0.0
ENSG00000110492-ENSG00000171094,0.0,0.0,0.0,0.0
ENSG00000254647-ENSG00000171105,0.0,0.0,0.0,0.0
ENSG00000158458-ENSG00000178568,0.0,0.0,0.0,0.0
ENSG00000019991-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000092969-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000122861-ENSG00000011422,0.0,0.0,0.0,0.0
ENSG00000099250-ENSG00000173511,0.0,1.0,0.0,0.0
ENSG00000181195-ENSG00000082556,0.0,0.0,0.0,0.0
ENSG00000146648-ENSG00000240972,0.0,0.0,0.0,0.0
ENSG00000139292-ENSG00000146374,0.0,0.0,0.0,0.0
ENSG00000173080-ENSG00000172410,0.0,1.0,0.0,0.0
ENSG00000197696-ENSG00000135577,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000095539,0.0,1.0,0.0,0.0
ENSG00000101200-ENSG00000198049,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000125657-ENSG00000123496,0.0,1.0,0.0,0.0
ENSG00000156076-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000181092-ENSG00000101292,0.0,1.0,0.0,0.0
ENSG00000106483-ENSG00000134245,0.0,0.0,0.0,0.0
ENSG00000146469-ENSG00000197635,0.0,1.0,0.0,0.0
ENSG00000087494-ENSG00000119973,0.0,0.0,0.0,0.0
ENSG00000164761-ENSG00000121858,0.0,0.0,0.0,0.0
