,adj1,adj2,adj3,adj4
ENSG00000144476-ENSG00000154342,0.0,0.0,0.0,0.0
ENSG00000100311-ENSG00000198049,0.0,0.0,0.0,0.0
ENSG00000105329-ENSG00000142192,0.0,0.0,0.0,0.0
ENSG00000145040-ENSG00000169752,0.0,0.0,0.0,0.0
ENSG00000115353-ENSG00000121807,0.0,0.0,0.0,0.0
ENSG00000001617-ENSG00000120659,0.0,0.0,0.0,0.0
ENSG00000121966-ENSG00000143816,0.0,0.0,0.0,0.0
ENSG00000111186-ENSG00000197746,0.0,0.0,0.0,0.0
ENSG00000171587-ENSG00000175206,0.0,0.0,0.0,0.0
ENSG00000105835-ENSG00000141655,0.0,-1.0,0.0,0.0
ENSG00000107731-ENSG00000147869,0.0,0.0,0.0,0.0
ENSG00000026103-ENSG00000135744,0.0,0.0,0.0,0.0
ENSG00000187764-ENSG00000188157,0.0,-1.0,0.0,0.0
ENSG00000141655-ENSG00000183625,0.0,0.0,0.0,0.0
ENSG00000125510-ENSG00000183671,0.0,0.0,0.0,0.0
ENSG00000113494-ENSG00000184995,0.0,0.0,0.0,0.0
ENSG00000104760-ENSG00000138675,0.0,0.0,0.0,0.0
ENSG00000138623-ENSG00000282608,0.0,0.0,0.0,0.0
ENSG00000175206-ENSG00000276085,0.0,0.0,0.0,0.0
ENSG00000121764-ENSG00000148053,0.0,-1.0,0.0,0.0
ENSG00000073008-ENSG00000128052,0.0,-1.0,0.0,0.0
ENSG00000026103-ENSG00000196639,0.0,0.0,0.0,0.0
ENSG00000137252-ENSG00000188729,0.0,0.0,0.0,0.0
ENSG00000067182-ENSG00000187323,0.0,-1.0,0.0,0.0
ENSG00000132911-ENSG00000146674,0.0,0.0,0.0,0.0
ENSG00000026103-ENSG00000134245,0.0,0.0,0.0,0.0
ENSG00000105464-ENSG00000183662,0.0,-1.0,0.0,0.0
ENSG00000070886-ENSG00000091879,0.0,-1.0,0.0,0.0
ENSG00000101200-ENSG00000118271,0.0,0.0,0.0,0.0
ENSG00000074527-ENSG00000184371,0.0,-1.0,0.0,0.0
ENSG00000011600-ENSG00000166148,0.0,0.0,0.0,0.0
ENSG00000137642-ENSG00000164199,0.0,0.0,0.0,0.0
ENSG00000126010-ENSG00000145242,0.0,-1.0,0.0,0.0
ENSG00000130234-ENSG00000173080,0.0,-1.0,0.0,0.0
ENSG00000183671-ENSG00000214285,0.0,0.0,0.0,0.0
ENSG00000134762-ENSG00000187258,0.0,0.0,0.0,0.0
ENSG00000070031-ENSG00000156076,0.0,-1.0,0.0,0.0
ENSG00000105426-ENSG00000162552,0.0,0.0,0.0,0.0
ENSG00000006638-ENSG00000118257,0.0,-1.0,0.0,0.0
ENSG00000134250-ENSG00000134755,0.0,0.0,0.0,0.0
ENSG00000163606-ENSG00000170775,0.0,-1.0,0.0,0.0
ENSG00000090776-ENSG00000180210,0.0,0.0,0.0,0.0
ENSG00000113580-ENSG00000170962,0.0,-1.0,0.0,0.0
ENSG00000117400-ENSG00000163485,0.0,-1.0,0.0,0.0
ENSG00000048462-ENSG00000120949,0.0,0.0,0.0,0.0
ENSG00000148346-ENSG00000184451,0.0,0.0,0.0,0.0
