,adj1,adj2,adj3,adj4
ENSG00000162706-ENSG00000105767,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000030582,0.0,1.0,0.0,0.0
ENSG00000149294-ENSG00000176697,0.0,1.0,0.0,0.0
ENSG00000156687-ENSG00000074527,0.0,1.0,0.0,0.0
ENSG00000182580-ENSG00000090776,0.0,1.0,0.0,0.0
ENSG00000118785-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000145147-ENSG00000185008,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000145242,0.0,1.0,0.0,0.0
ENSG00000159899-ENSG00000163273,0.0,1.0,0.0,0.0
ENSG00000185652-ENSG00000148053,0.0,0.0,0.0,0.0
ENSG00000198719-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000169836-ENSG00000166863,0.0,0.0,0.0,0.0
ENSG00000091831-ENSG00000176697,0.0,0.0,0.0,0.0
ENSG00000108379-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000101200-ENSG00000180914,0.0,0.0,0.0,0.0
ENSG00000188064-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000101958-ENSG00000196937,0.0,1.0,0.0,0.0
ENSG00000104332-ENSG00000111186,0.0,1.0,0.0,0.0
ENSG00000171587-ENSG00000065320,0.0,1.0,0.0,0.0
ENSG00000185559-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000167601-ENSG00000183087,0.0,1.0,0.0,0.0
ENSG00000013725-ENSG00000170017,0.0,0.0,0.0,0.0
ENSG00000188064-ENSG00000156076,0.0,0.0,0.0,0.0
ENSG00000115138-ENSG00000112038,0.0,1.0,0.0,0.0
ENSG00000116106-ENSG00000090776,0.0,0.0,0.0,0.0
ENSG00000117335-ENSG00000101384,0.0,1.0,0.0,0.0
ENSG00000198719-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000196576-ENSG00000168758,0.0,1.0,0.0,0.0
ENSG00000182578-ENSG00000157368,0.0,1.0,0.0,0.0
