,adj1,adj2,adj3,adj4
ENSG00000068078-ENSG00000110400,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000169242-ENSG00000070886,0.0,1.0,0.0,0.0
ENSG00000105989-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000146469-ENSG00000106018,0.0,0.0,0.0,0.0
ENSG00000156427-ENSG00000066468,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000106123-ENSG00000125266,0.0,0.0,0.0,0.0
ENSG00000188157-ENSG00000105426,0.0,1.0,0.0,0.0
ENSG00000143816-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000112715-ENSG00000128052,0.0,1.0,0.0,0.0
ENSG00000170425-ENSG00000138185,0.0,1.0,0.0,0.0
ENSG00000125266-ENSG00000154928,0.0,0.0,0.0,0.0
ENSG00000118257-ENSG00000075223,0.0,0.0,0.0,0.0
ENSG00000184500-ENSG00000092445,0.0,1.0,0.0,0.0
ENSG00000118257-ENSG00000001617,0.0,1.0,0.0,0.0
ENSG00000188064-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000161610-ENSG00000137252,0.0,0.0,0.0,0.0
ENSG00000072071-ENSG00000157168,0.0,0.0,0.0,0.0
ENSG00000087494-ENSG00000160801,0.0,1.0,0.0,0.0
ENSG00000101188-ENSG00000133636,0.0,1.0,0.0,0.0
ENSG00000138207-ENSG00000137868,0.0,1.0,0.0,0.0
ENSG00000134259-ENSG00000064300,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000106018,0.0,0.0,0.0,0.0
ENSG00000101327-ENSG00000112038,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000197635,0.0,0.0,0.0,0.0
ENSG00000125845-ENSG00000128602,0.0,1.0,0.0,0.0
ENSG00000143590-ENSG00000116106,0.0,1.0,0.0,0.0
ENSG00000101384-ENSG00000074181,0.0,1.0,0.0,0.0
ENSG00000105426-ENSG00000140538,0.0,0.0,0.0,0.0
ENSG00000154134-ENSG00000184613,0.0,0.0,0.0,0.0
ENSG00000148346-ENSG00000092096,0.0,0.0,0.0,0.0
ENSG00000178568-ENSG00000113070,0.0,1.0,0.0,0.0
ENSG00000115138-ENSG00000116329,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000134250-ENSG00000018236,0.0,1.0,0.0,0.0
ENSG00000128271-ENSG00000105835,0.0,1.0,0.0,0.0
ENSG00000162998-ENSG00000115596,0.0,0.0,0.0,0.0
ENSG00000065320-ENSG00000113763,0.0,1.0,0.0,0.0
ENSG00000092969-ENSG00000069702,0.0,1.0,0.0,0.0
ENSG00000162706-ENSG00000182985,0.0,0.0,0.0,0.0
ENSG00000113494-ENSG00000204414,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000156076,0.0,0.0,0.0,0.0
ENSG00000158955-ENSG00000145423,0.0,0.0,0.0,0.0
ENSG00000112715-ENSG00000273079,0.0,1.0,0.0,0.0
ENSG00000110400-ENSG00000177707,0.0,1.0,0.0,0.0
ENSG00000205213-ENSG00000146374,0.0,0.0,0.0,0.0
ENSG00000154764-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000185483,0.0,1.0,0.0,0.0
ENSG00000019582-ENSG00000240972,0.0,1.0,0.0,0.0
ENSG00000112715-ENSG00000102755,0.0,0.0,0.0,0.0
