,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,220.09903,0.4925816,242.79314,0.4827586,170.79727,0.48347107
1,218.58847,0.48961425,241.23567,0.4827586,169.78491,0.47933885
2,217.12509,0.48961425,239.7223,0.4827586,168.8036,0.47933885
3,215.68907,0.48367953,238.28368,0.48965517,167.82286,0.47933885
4,214.34059,0.47477746,236.93483,0.48965517,166.86546,0.47933885
5,212.90991,0.4718101,235.47664,0.47586206,165.87059,0.4752066
6,211.4854,0.46884274,234.00154,0.46896553,164.87553,0.47107437
7,210.09291,0.46884274,232.67416,0.4827586,163.90427,0.4752066
8,208.77469,0.46884274,231.44113,0.48965517,162.9789,0.4752066
9,207.51537,0.462908,230.25014,0.4827586,162.07672,0.47107437
10,206.27934,0.45994064,229.04803,0.4827586,161.16875,0.46694216
11,205.10889,0.45697328,227.91492,0.4827586,160.2932,0.46694216
12,203.88625,0.4480712,226.73755,0.4827586,159.38907,0.46280992
13,202.62933,0.4480712,225.55989,0.4827586,158.4567,0.45454547
14,201.38577,0.43323442,224.3985,0.46896553,157.52383,0.45041323
15,200.1668,0.43323442,223.28,0.46896553,156.6182,0.45041323
16,198.92577,0.43026707,222.13873,0.47586206,155.6792,0.43801653
17,197.79077,0.43026707,221.08469,0.47586206,154.80554,0.42975205
18,196.65178,0.4272997,220.03181,0.47586206,153.92574,0.4214876
19,195.47304,0.42433235,218.932,0.47586206,153.0295,0.4214876
20,194.26344,0.42433235,217.80817,0.47586206,152.11417,0.41735536
21,193.10168,0.41839764,216.7229,0.46206897,151.23265,0.41735536
22,191.9655,0.41246292,215.65352,0.45517242,150.37271,0.4090909
23,190.76717,0.40949556,214.52316,0.45517242,149.48695,0.40082645
24,189.62822,0.40356082,213.46765,0.45517242,148.63513,0.3966942
25,188.46184,0.40059346,212.37845,0.45517242,147.76689,0.3966942
26,187.36823,0.40356082,211.34232,0.45517242,146.92842,0.3966942
27,186.24298,0.40356082,210.27972,0.44827586,146.0812,0.3966942
28,185.11024,0.39465874,209.2264,0.44827586,145.23555,0.3966942
29,183.95071,0.3916914,208.12103,0.43448275,144.36394,0.39256197
30,182.75812,0.39465874,206.9932,0.43448275,143.46869,0.3966942
31,181.58687,0.38872403,205.87897,0.43448275,142.58867,0.3966942
32,180.48357,0.38872403,204.81418,0.43448275,141.73831,0.39256197
33,179.35765,0.38872403,203.74352,0.43448275,140.9077,0.39256197
34,178.2596,0.38872403,202.71834,0.43448275,140.0917,0.39256197
35,177.16747,0.38575667,201.67741,0.4275862,139.25981,0.39256197
36,176.07092,0.38575667,200.6405,0.4275862,138.43341,0.39256197
37,174.9229,0.38872403,199.55644,0.4275862,137.62231,0.38842976
38,173.70293,0.3916914,198.40526,0.41379312,136.74681,0.38842976
39,172.59215,0.3916914,197.35464,0.41379312,135.91214,0.38842976
40,171.52477,0.38872403,196.35973,0.40689656,135.11649,0.38429752
41,170.4505,0.38872403,195.3538,0.40689656,134.31355,0.38429752
42,169.36856,0.3827893,194.3429,0.41379312,133.504,0.38429752
43,168.24164,0.3827893,193.27419,0.42068964,132.67099,0.38016528
44,167.0986,0.37982196,192.20341,0.41379312,131.82608,0.38016528
45,165.98102,0.3768546,191.1986,0.41379312,131.03801,0.37603307
46,164.90497,0.3768546,190.19164,0.41379312,130.22548,0.38016528
47,163.73692,0.37388724,189.09198,0.41379312,129.35913,0.38016528
48,162.61798,0.3768546,188.0447,0.41379312,128.53944,0.38016528
49,161.5184,0.3768546,187.02052,0.41379312,127.727425,0.37603307
50,160.4409,0.37388724,186.02203,0.41379312,126.9298,0.37190083
51,159.39325,0.37982196,185.02103,0.41379312,126.147156,0.36363637
52,158.40213,0.3827893,184.04805,0.40689656,125.34855,0.3677686
53,157.42267,0.37982196,183.07555,0.40689656,124.55254,0.36363637
54,156.45921,0.37982196,182.11987,0.41379312,123.75115,0.36363637
55,155.49742,0.37982196,181.16826,0.41379312,122.956375,0.36363637
56,154.50589,0.37982196,180.17865,0.41379312,122.161575,0.35950413
57,153.4857,0.3827893,179.16357,0.41379312,121.32937,0.35950413
58,152.50443,0.3827893,178.17694,0.42068964,120.51567,0.35950413
59,151.49919,0.3827893,177.18288,0.42068964,119.6942,0.35950413
60,150.49352,0.38575667,176.17404,0.42068964,118.873985,0.35950413
61,149.51508,0.38575667,175.20215,0.42068964,118.07027,0.35950413
62,148.48546,0.38575667,174.17139,0.42068964,117.23011,0.35950413
63,147.50882,0.3827893,173.19962,0.41379312,116.43486,0.3553719
64,146.58728,0.37982196,172.28712,0.41379312,115.66962,0.3553719
65,145.6223,0.3768546,171.32704,0.41379312,114.85449,0.3553719
66,144.6535,0.37982196,170.36082,0.40689656,114.05455,0.3553719
67,143.76993,0.37982196,169.48149,0.40689656,113.3047,0.3553719
68,142.7406,0.37982196,168.44391,0.40689656,112.4487,0.3553719
69,141.72495,0.3827893,167.41048,0.40689656,111.60752,0.3553719
70,140.76872,0.38575667,166.45305,0.40689656,110.80974,0.3553719
71,139.81706,0.38575667,165.49817,0.40689656,109.99935,0.3553719
72,138.80516,0.3827893,164.4642,0.41379312,109.16374,0.3553719
73,137.8139,0.3827893,163.45645,0.41379312,108.338135,0.3553719
74,136.8837,0.3827893,162.52759,0.40689656,107.54115,0.35950413
75,135.86438,0.3827893,161.49202,0.40689656,106.68385,0.3553719
76,134.92169,0.3827893,160.54079,0.40689656,105.89729,0.3553719
77,134.02025,0.3827893,159.62909,0.40689656,105.13736,0.35950413
78,133.06541,0.3827893,158.67198,0.40689656,104.32446,0.35950413
79,132.06554,0.3827893,157.65833,0.40689656,103.48426,0.35950413
80,131.11227,0.3827893,156.70099,0.40689656,102.67749,0.35950413
81,130.15742,0.38575667,155.73796,0.40689656,101.877014,0.35950413
82,129.21414,0.38575667,154.7906,0.40689656,101.076416,0.35950413
83,128.23846,0.38575667,153.81607,0.40689656,100.24843,0.35950413
84,127.20725,0.37982196,152.76578,0.40689656,99.39034,0.35950413
85,126.214806,0.37982196,151.76854,0.40689656,98.54588,0.35950413
86,125.253654,0.3768546,150.79106,0.40689656,97.74345,0.35950413
87,124.34179,0.37091988,149.87805,0.40689656,96.96495,0.35950413
88,123.35708,0.37091988,148.87689,0.40689656,96.13741,0.35950413
89,122.4115,0.37091988,147.92497,0.40689656,95.34526,0.35950413
90,121.46692,0.36795253,146.96957,0.4,94.54757,0.35950413
91,120.52978,0.36795253,146.0266,0.4,93.75275,0.35950413
92,119.57931,0.36795253,145.07993,0.4,92.94974,0.3553719
93,118.58612,0.36795253,144.07439,0.4,92.113716,0.3553719
94,117.64342,0.36795253,143.13193,0.4,91.31137,0.3553719
95,116.71457,0.36795253,142.21524,0.4,90.513885,0.3553719
96,115.837204,0.36795253,141.3442,0.4,89.759476,0.35950413
97,114.86719,0.36795253,140.35164,0.4,88.94619,0.3553719
98,113.88986,0.36795253,139.37675,0.4,88.123146,0.3553719
99,112.979,0.36498517,138.46733,0.4,87.343285,0.3553719
100,111.978676,0.3620178,137.44894,0.39310345,86.50466,0.3553719
101,111.02116,0.36498517,136.48454,0.39310345,85.70472,0.3553719
102,110.058975,0.36498517,135.53033,0.39310345,84.881744,0.3553719
103,109.04484,0.35905045,134.49146,0.4,84.03839,0.3553719
104,108.12116,0.3560831,133.56767,0.4,83.25494,0.3553719
105,107.12785,0.35311574,132.56015,0.4,82.42314,0.35123968
106,106.173256,0.35311574,131.60196,0.4,81.6162,0.35123968
107,105.19045,0.3560831,130.61375,0.4,80.79707,0.35123968
108,104.30786,0.35311574,129.73444,0.4,80.04765,0.35123968
109,103.35512,0.35311574,128.78883,0.4,79.230354,0.35950413
110,102.360245,0.3560831,127.78498,0.4,78.39359,0.36363637
111,101.39933,0.3560831,126.81965,0.4,77.587006,0.3677686
112,100.45201,0.3560831,125.863594,0.4,76.78789,0.3677686
113,99.483444,0.3560831,124.88199,0.4,75.978325,0.37603307
114,98.541824,0.3560831,123.93657,0.4,75.17944,0.37190083
115,97.61291,0.35311574,123.00574,0.4,74.40729,0.37603307
116,96.67123,0.35311574,122.0618,0.39310345,73.611115,0.37603307
117,95.70063,0.35311574,121.08617,0.39310345,72.80314,0.3677686
118,94.79866,0.35311574,120.1734,0.3862069,72.04914,0.36363637
119,93.8879,0.35311574,119.26176,0.3862069,71.273705,0.36363637
120,92.94841,0.35014838,118.321144,0.39310345,70.480545,0.3677686
121,91.930115,0.3560831,117.28393,0.39310345,69.6376,0.36363637
122,90.94386,0.35905045,116.28473,0.39310345,68.81895,0.35950413
123,89.98663,0.3560831,115.32267,0.39310345,68.017456,0.35950413
124,89.06447,0.35905045,114.391785,0.39310345,67.25877,0.35950413
125,88.168144,0.35905045,113.496765,0.39310345,66.515465,0.35950413
126,87.20243,0.35905045,112.520836,0.39310345,65.70558,0.36363637
127,86.34821,0.35905045,111.6753,0.39310345,64.984245,0.37190083
128,85.34629,0.36498517,110.66123,0.3862069,64.15272,0.37190083
129,84.34089,0.36498517,109.639534,0.37931034,63.32605,0.37190083
130,83.38206,0.36498517,108.66765,0.37931034,62.539284,0.37190083
131,82.397606,0.37091988,107.66544,0.37241378,61.742527,0.37190083
132,81.49309,0.37388724,106.762726,0.37931034,60.998398,0.37190083
133,80.57573,0.3768546,105.848076,0.3862069,60.231724,0.37190083
134,79.603,0.37982196,104.871025,0.39310345,59.4282,0.38016528
135,78.7015,0.3827893,103.97503,0.3862069,58.677975,0.38842976
136,77.80827,0.38872403,103.06672,0.40689656,57.947002,0.39256197
137,76.94289,0.3916914,102.21833,0.42068964,57.226765,0.38842976
138,75.98475,0.3976261,101.252815,0.41379312,56.445816,0.3966942
139,75.08552,0.39465874,100.368935,0.40689656,55.69849,0.39256197
140,74.13643,0.39465874,99.43036,0.39310345,54.920208,0.3966942
141,73.18542,0.39465874,98.47536,0.39310345,54.15546,0.40495867
142,72.287674,0.39465874,97.59055,0.4,53.41345,0.4090909
143,71.33601,0.38872403,96.63928,0.40689656,52.64449,0.40495867
144,70.39053,0.38575667,95.703766,0.40689656,51.87288,0.41735536
145,69.48317,0.38872403,94.80486,0.4,51.148678,0.41735536
146,68.5857,0.3827893,93.92468,0.4,50.419865,0.41735536
147,67.67164,0.38872403,93.02651,0.42068964,49.690865,0.42561984
148,66.782074,0.38872403,92.1456,0.42068964,48.971603,0.42561984
149,65.92817,0.40059346,91.310936,0.4413793,48.288826,0.42561984
150,65.0304,0.40059346,90.43382,0.4413793,47.569313,0.42975205
151,64.134224,0.40059346,89.56805,0.44827586,46.841442,0.42975205
152,63.34482,0.40949556,88.80763,0.46896553,46.200993,0.4338843
153,62.556297,0.40949556,88.046165,0.46896553,45.570465,0.41735536
154,61.669395,0.3976261,87.18384,0.46206897,44.86732,0.42561984
155,60.821438,0.40356082,86.35689,0.46896553,44.191074,0.41735536
156,59.93677,0.4065282,85.47935,0.46896553,43.49611,0.41735536
157,59.13126,0.40356082,84.67547,0.46896553,42.84764,0.42561984
158,58.37686,0.4065282,83.93522,0.47586206,42.244003,0.42975205
159,57.627018,0.41246292,83.18671,0.4827586,41.655113,0.43801653
160,56.90693,0.421365,82.49092,0.4827586,41.06789,0.4338843
161,56.15738,0.421365,81.740265,0.49655172,40.484432,0.44214877
162,55.467365,0.44510385,81.05299,0.49655172,39.94634,0.44214877
163,54.722363,0.45697328,80.30338,0.5103448,39.372135,0.45867768
164,54.065166,0.462908,79.650826,0.5103448,38.8525,0.46280992
165,53.397865,0.45697328,78.98284,0.51724136,38.341434,0.46280992
166,52.761417,0.46884274,78.35635,0.50344825,37.842346,0.46694216
167,52.084557,0.4718101,77.671,0.50344825,37.32935,0.46694216
168,51.45423,0.47477746,77.05618,0.5103448,36.854076,0.4752066
169,50.839573,0.48071218,76.46029,0.51724136,36.369736,0.47107437
170,50.208973,0.47774482,75.83902,0.53103447,35.898705,0.47107437
171,49.65118,0.47774482,75.29921,0.51724136,35.469177,0.47107437
