,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,5.1993113,0.4718101,4.1951156,0.47586206,3.4977806,0.42975205
1,5.007984,0.46884274,4.0245585,0.47586206,3.4242349,0.4338843
2,4.8476796,0.48071218,3.883045,0.47586206,3.3605678,0.42561984
3,4.67281,0.48367953,3.7288115,0.49655172,3.289364,0.42561984
4,4.5192485,0.4866469,3.590835,0.48965517,3.2249193,0.42975205
5,4.377172,0.49554896,3.462847,0.49655172,3.1595123,0.45041323
6,4.2403064,0.48961425,3.339305,0.5103448,3.0917408,0.45454547
7,4.105376,0.49851632,3.2150176,0.5103448,3.0246694,0.45454547
8,3.9770515,0.5014837,3.0977542,0.51724136,2.9577575,0.46280992
9,3.858413,0.50445104,2.9894345,0.51724136,2.8930182,0.47107437
10,3.7438433,0.51038575,2.8811924,0.51724136,2.8285813,0.47933885
11,3.6449656,0.5222552,2.7936199,0.5103448,2.763946,0.5
12,3.5465918,0.5222552,2.7001836,0.53103447,2.7056224,0.5041322
13,3.4455976,0.5281899,2.6089034,0.53103447,2.6406288,0.5041322
14,3.351907,0.5341246,2.519699,0.537931,2.58413,0.5123967
15,3.2463562,0.5430267,2.4206264,0.5448276,2.5193806,0.5165289
16,3.149838,0.5489614,2.3306935,0.5448276,2.459182,0.5289256
17,3.0553901,0.5548961,2.2385771,0.55172414,2.4052324,0.5289256
18,2.9626644,0.5578635,2.151822,0.5448276,2.347868,0.5247934
19,2.865383,0.56973296,2.0558286,0.537931,2.2942028,0.53305787
20,2.7753756,0.56973296,1.9710757,0.5448276,2.2424955,0.5371901
21,2.6918447,0.5667656,1.9014167,0.5448276,2.1887646,0.5371901
22,2.6100683,0.58456975,1.8373946,0.5448276,2.1376119,0.553719
23,2.5389128,0.59940654,1.7848885,0.5586207,2.0928023,0.56198347
24,2.4750967,0.5964392,1.7387288,0.56551725,2.0543427,0.5661157
25,2.4070277,0.6023739,1.690001,0.56551725,2.0060048,0.58264464
26,2.3416631,0.6083086,1.6434941,0.5724138,1.9642128,0.57438016
27,2.281811,0.6142433,1.6007448,0.5862069,1.9229828,0.5785124
28,2.2249577,0.6172107,1.5603768,0.5862069,1.8859531,0.59090906
29,2.1649873,0.6231454,1.5179584,0.5862069,1.8487124,0.61157024
30,2.1085517,0.62611276,1.4783471,0.5862069,1.8136985,0.61570245
31,2.049627,0.6290801,1.4369648,0.59310347,1.777187,0.6198347
32,1.9906832,0.6320475,1.3964536,0.59310347,1.7466007,0.6198347
33,1.9307195,0.6290801,1.3551766,0.59310347,1.713754,0.6363636
34,1.8781145,0.6290801,1.3194001,0.59310347,1.6876837,0.6404959
35,1.8276019,0.63501483,1.2835484,0.6137931,1.6527243,0.6404959
36,1.7747765,0.64094955,1.248101,0.6137931,1.6288657,0.6446281
37,1.7237517,0.6439169,1.2125102,0.6137931,1.5979491,0.661157
38,1.6708858,0.6498516,1.1760752,0.62068963,1.5691264,0.6694215
39,1.620729,0.652819,1.140599,0.6068966,1.5420829,0.6818182
40,1.5769086,0.652819,1.1075084,0.6137931,1.5186611,0.6859504
41,1.5427731,0.65578634,1.0797784,0.62068963,1.4951996,0.7066116
42,1.507341,0.66172105,1.050346,0.6137931,1.4743736,0.7066116
43,1.4762831,0.66172105,1.0239009,0.6137931,1.4543657,0.7066116
44,1.4516512,0.6646884,1.0024806,0.6137931,1.4299102,0.7066116
45,1.4279839,0.6706231,0.98215425,0.62068963,1.412148,0.7107438
46,1.40293,0.6795252,0.9601718,0.6275862,1.3922887,0.7066116
47,1.3812873,0.6854599,0.9409765,0.6413793,1.3757443,0.71487606
48,1.3635467,0.68249255,0.9251357,0.63448274,1.3554007,0.71487606
49,1.3446,0.6913947,0.908156,0.63448274,1.3357252,0.7231405
50,1.3293958,0.70029676,0.8943488,0.6413793,1.3201098,0.71900827
51,1.3165296,0.70919883,0.8820883,0.66206896,1.3092906,0.71900827
52,1.3050644,0.7121662,0.874165,0.6689655,1.2916821,0.7231405
53,1.294027,0.7181009,0.86854345,0.6689655,1.2745854,0.72727275
54,1.2839663,0.71513355,0.86020494,0.6689655,1.2671691,0.72727275
55,1.2734625,0.71513355,0.858345,0.6689655,1.2501614,0.72727275
56,1.2637266,0.7240356,0.85543394,0.6689655,1.2375284,0.73140496
57,1.2548238,0.727003,0.85001063,0.6689655,1.2308758,0.72727275
58,1.2462666,0.7240356,0.8495145,0.6896552,1.2182499,0.7231405
59,1.2373925,0.7181009,0.8530671,0.69655174,1.1995709,0.72727275
60,1.2301655,0.72106826,0.8511373,0.7034483,1.1915978,0.7231405
61,1.2240151,0.72106826,0.8503097,0.71034485,1.1832775,0.7231405
62,1.2175933,0.72106826,0.854001,0.71034485,1.168571,0.7231405
63,1.2110187,0.7240356,0.8569685,0.71034485,1.154883,0.72727275
64,1.2051281,0.72106826,0.8554433,0.7172414,1.1483432,0.72727275
65,1.199184,0.7240356,0.8518422,0.7172414,1.1449896,0.7231405
66,1.1931429,0.7240356,0.84734285,0.7172414,1.1442031,0.7231405
67,1.1883829,0.72997034,0.84444463,0.7172414,1.1425326,0.71900827
68,1.1834939,0.7329377,0.8407951,0.7172414,1.1424143,0.71900827
69,1.1793668,0.73590505,0.83897716,0.7172414,1.1389678,0.71900827
70,1.1744887,0.73590505,0.8379817,0.7241379,1.134432,0.7231405
71,1.1701876,0.73590505,0.83625054,0.73103446,1.1320124,0.7231405
72,1.1664058,0.73590505,0.8380335,0.73103446,1.1226895,0.7231405
73,1.1626616,0.7388724,0.8341776,0.73103446,1.1245463,0.71900827
74,1.1590157,0.73590505,0.831956,0.7241379,1.1230648,0.71900827
75,1.1559085,0.7388724,0.83409977,0.7241379,1.11363,0.71900827
76,1.1525229,0.73590505,0.8317273,0.7241379,1.1130902,0.71900827
77,1.1494569,0.73590505,0.8296174,0.7172414,1.1122347,0.71900827
