 ,adj1,adj2,adj3,adj4
Accuracy,0.7540666666666667,0.7803666666666667,0.7637999999999999,0.7485666666666667
Specificity,0.6738062306100973,0.7291551837361144,0.6876721779505411,0.6546602445254007
Sensitivity,0.8343664010365804,0.8315656585088095,0.8398989751754762,0.8425160601554871
