,acc_SVM,acc_RandomForest,acc_GCN,spe_SVM,spe_RandomForest,spe_GCN,sen_SVM,sen_RandomForest,sen_GCN
1,0.5405982905982906,0.6346153846153846,0.7543,0.8888889000000001,0.7136752,0.6837607,0.19230770000000003,0.5555555999999999,0.8247863000000001
2,0.5078125,0.64453125,0.7656,0.9375,0.84375,0.703125,0.078125,0.4453125,0.828125
mu,0.5242053952991452,0.6395733173076923,0.7599499999999999,0.91319445,0.7787126,0.69344285,0.13521635,0.50043405,0.82645565
sd,0.016392895299145283,0.004957932692307709,0.005649999999999988,0.024305549999999954,0.06503740000000002,0.00968215,0.05709135000000001,0.055121549999999964,0.0016693499999999584
3,0.582089552238806,0.8283582089552238,,0.8507463,0.8358209000000001,,0.31343284,0.8208955,
