,acc_SVM,acc_RandomForest,acc_GCN,spe_SVM,spe_RandomForest,spe_GCN,sen_SVM,sen_RandomForest,sen_GCN
1,0.5083333333333333,0.75,0.7708,0.875,0.725,0.68333334,0.14166667,0.775,0.85833335
2,0.5371900826446281,0.7520661157024794,0.7893,0.9504132,0.76859504,0.7438016533851624,0.12396694,0.7355371999999999,0.8347107172012329
3,0.5619834710743802,0.7975206611570248,0.7809999999999999,0.87603307,0.7768595,0.7603305578231812,0.24793388,0.8181818000000001,0.8016529083251953
mu,0.5358356290174472,0.7665289256198347,0.7803666666666667,0.90048209,0.7568181800000001,0.7291551837361144,0.17118916333333334,0.7762396666666667,0.8315656585088095
sd,0.021923506842040016,0.021930693289381065,0.007565858987730471,0.035309145347726355,0.022750425031299985,0.03309614472022344,0.05474567722784715,0.03375090178917042,0.023246313869039185
