,adj1,adj2,adj3,adj4,sum
ENSG00000106123-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000153208-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000119699-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000105894-ENSG00000106278,1.0,1.0,1.0,1.0,1111
ENSG00000196576-ENSG00000168758,1.0,1.0,1.0,1.0,1111
ENSG00000184349-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000113389-ENSG00000163273,1.0,1.0,1.0,1.0,1111
ENSG00000108379-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000145423-ENSG00000111186,1.0,1.0,1.0,1.0,1111
ENSG00000147655-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000178568,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000185483,1.0,1.0,1.0,1.0,1111
ENSG00000134250-ENSG00000090932,1.0,1.0,1.0,1.0,1111
ENSG00000185896-ENSG00000196937,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000139874,1.0,1.0,1.0,1.0,1111
ENSG00000166086-ENSG00000166086,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000125845-ENSG00000128602,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000152894,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000182580,1.0,1.0,1.0,1.0,1111
ENSG00000143816-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000188064-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000188064-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000118257-ENSG00000001617,1.0,1.0,1.0,1.0,1111
ENSG00000184500-ENSG00000092445,1.0,1.0,1.0,1.0,1111
ENSG00000105464-ENSG00000172349,1.0,1.0,1.0,1.0,1111
ENSG00000170425-ENSG00000138185,1.0,1.0,1.0,1.0,1111
ENSG00000110400-ENSG00000162706,1.0,1.0,1.0,1.0,1111
ENSG00000145147-ENSG00000185008,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000125266,1.0,1.0,1.0,1.0,1111
ENSG00000092445-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000107731-ENSG00000074527,1.0,1.0,1.0,1.0,1111
ENSG00000169242-ENSG00000070886,1.0,1.0,1.0,1.0,1111
ENSG00000167601-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000101188-ENSG00000133636,1.0,1.0,1.0,1.0,1111
ENSG00000138207-ENSG00000137868,1.0,1.0,1.0,1.0,1111
ENSG00000134259-ENSG00000064300,1.0,1.0,1.0,1.0,1111
ENSG00000101327-ENSG00000112038,1.0,1.0,1.0,1.0,1111
ENSG00000163956-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000110400-ENSG00000143217,1.0,1.0,1.0,1.0,1111
ENSG00000101384-ENSG00000074181,1.0,1.0,1.0,1.0,1111
ENSG00000178568-ENSG00000113070,1.0,1.0,1.0,1.0,1111
ENSG00000161955-ENSG00000067182,1.0,1.0,1.0,1.0,1111
ENSG00000170775-ENSG00000219438,1.0,1.0,1.0,1.0,1111
ENSG00000065320-ENSG00000113763,1.0,1.0,1.0,1.0,1111
ENSG00000092969-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000101327-ENSG00000082556,1.0,1.0,1.0,1.0,1111
ENSG00000112715-ENSG00000273079,1.0,1.0,1.0,1.0,1111
ENSG00000205213-ENSG00000146374,1.0,1.0,1.0,1.0,1111
ENSG00000118257-ENSG00000075223,1.0,1.0,1.0,1.0,1111
ENSG00000196352-ENSG00000123146,1.0,1.0,1.0,1.0,1111
ENSG00000138685-ENSG00000127418,1.0,1.0,1.0,1.0,1111
ENSG00000157404-ENSG00000049130,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000105699,1.0,1.0,1.0,1.0,1111
