,adj1,adj2,adj3,adj4,sum
ENSG00000152894-ENSG00000101144,1.0,1.0,1.0,1.0,1111
ENSG00000081237-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000107731-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000132671,1.0,1.0,1.0,1.0,1111
ENSG00000180616-ENSG00000241563,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000154928,1.0,1.0,1.0,1.0,1111
ENSG00000091879-ENSG00000120156,1.0,1.0,1.0,1.0,1111
ENSG00000178568-ENSG00000157168,1.0,1.0,1.0,1.0,1111
ENSG00000178568-ENSG00000113070,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000101384,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000154188-ENSG00000120156,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000136999,1.0,1.0,1.0,1.0,1111
ENSG00000169218-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000145242-ENSG00000184349,1.0,1.0,1.0,1.0,1111
ENSG00000107562-ENSG00000144476,1.0,1.0,1.0,1.0,1111
ENSG00000118785-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000197635-ENSG00000107562,1.0,1.0,1.0,1.0,1111
ENSG00000188157-ENSG00000149294,1.0,1.0,1.0,1.0,1111
ENSG00000164050-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000143816-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000070886-ENSG00000184349,1.0,1.0,1.0,1.0,1111
ENSG00000070886-ENSG00000169242,1.0,1.0,1.0,1.0,1111
ENSG00000113070-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000163377-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000101384-ENSG00000117335,1.0,1.0,1.0,1.0,1111
ENSG00000125845-ENSG00000128602,1.0,1.0,1.0,1.0,1111
ENSG00000104332-ENSG00000108379,1.0,1.0,1.0,1.0,1111
ENSG00000105329-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000090932-ENSG00000074181,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000114251,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000105989,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000143816,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000188064,1.0,1.0,1.0,1.0,1111
ENSG00000189056-ENSG00000147852,1.0,1.0,1.0,1.0,1111
ENSG00000133636-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000133636-ENSG00000101188,1.0,1.0,1.0,1.0,1111
ENSG00000189056-ENSG00000157193,1.0,1.0,1.0,1.0,1111
ENSG00000166086-ENSG00000154721,1.0,1.0,1.0,1.0,1111
ENSG00000090932-ENSG00000148400,1.0,1.0,1.0,1.0,1111
ENSG00000090932-ENSG00000134250,1.0,1.0,1.0,1.0,1111
ENSG00000130283-ENSG00000164270,1.0,1.0,1.0,1.0,1111
ENSG00000129219-ENSG00000143761,1.0,1.0,1.0,1.0,1111
ENSG00000105329-ENSG00000146648,1.0,1.0,1.0,1.0,1111
ENSG00000105329-ENSG00000169083,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000130164,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000070886,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000145242,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000044524,1.0,1.0,1.0,1.0,1111
ENSG00000196576-ENSG00000095539,1.0,1.0,1.0,1.0,1111
ENSG00000196576-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000113763-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000111186,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000162552,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000154764,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000134245,1.0,1.0,1.0,1.0,1111
ENSG00000182985-ENSG00000162706,1.0,1.0,1.0,1.0,1111
ENSG00000138207-ENSG00000137868,1.0,1.0,1.0,1.0,1111
ENSG00000102678-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000102678-ENSG00000066468,1.0,1.0,1.0,1.0,1111
ENSG00000171587-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000123146-ENSG00000196352,1.0,1.0,1.0,1.0,1111
ENSG00000168913-ENSG00000183150,1.0,1.0,1.0,1.0,1111
ENSG00000138685-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000004468-ENSG00000261371,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000149294,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000091831,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000158769,1.0,1.0,1.0,1.0,1111
ENSG00000174600-ENSG00000106538,1.0,1.0,1.0,1.0,1111
ENSG00000130202-ENSG00000177707,1.0,1.0,1.0,1.0,1111
ENSG00000239697-ENSG00000215788,1.0,1.0,1.0,1.0,1111
ENSG00000198753-ENSG00000112902,1.0,1.0,1.0,1.0,1111
ENSG00000187122-ENSG00000169855,1.0,1.0,1.0,1.0,1111
ENSG00000140538-ENSG00000105426,1.0,1.0,1.0,1.0,1111
ENSG00000156687-ENSG00000074527,1.0,1.0,1.0,1.0,1111
ENSG00000161955-ENSG00000067182,1.0,1.0,1.0,1.0,1111
ENSG00000145147-ENSG00000169855,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000108379,1.0,1.0,1.0,1.0,1111
ENSG00000119699-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000112715-ENSG00000099250,1.0,1.0,1.0,1.0,1111
ENSG00000044524-ENSG00000184349,1.0,1.0,1.0,1.0,1111
ENSG00000019582-ENSG00000240972,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000112149,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000153233,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000044524-ENSG00000099617,1.0,1.0,1.0,1.0,1111
ENSG00000134245-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000044524-ENSG00000169242,1.0,1.0,1.0,1.0,1111
ENSG00000019582-ENSG00000122218,1.0,1.0,1.0,1.0,1111
ENSG00000160801-ENSG00000087494,1.0,1.0,1.0,1.0,1111
ENSG00000074527-ENSG00000107731,1.0,1.0,1.0,1.0,1111
ENSG00000144407-ENSG00000087494,1.0,1.0,1.0,1.0,1111
ENSG00000125510-ENSG00000168081,1.0,1.0,1.0,1.0,1111
ENSG00000167244-ENSG00000119912,1.0,1.0,1.0,1.0,1111
ENSG00000140443-ENSG00000167244,1.0,1.0,1.0,1.0,1111
ENSG00000197081-ENSG00000167244,1.0,1.0,1.0,1.0,1111
ENSG00000017427-ENSG00000140443,1.0,1.0,1.0,1.0,1111
ENSG00000101327-ENSG00000082556,1.0,1.0,1.0,1.0,1111
ENSG00000101327-ENSG00000112038,1.0,1.0,1.0,1.0,1111
ENSG00000184500-ENSG00000167601,1.0,1.0,1.0,1.0,1111
ENSG00000116329-ENSG00000101327,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000146374-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000183087-ENSG00000167601,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000065361-ENSG00000157168,1.0,1.0,1.0,1.0,1111
ENSG00000135414-ENSG00000169604,1.0,1.0,1.0,1.0,1111
ENSG00000183087-ENSG00000153208,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000077782,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000066468,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000134245-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000026508,1.0,1.0,1.0,0.0,1110
ENSG00000066468-ENSG00000070193,1.0,1.0,1.0,0.0,1110
ENSG00000134250-ENSG00000198719,1.0,1.0,1.0,0.0,1110
ENSG00000104332-ENSG00000105989,1.0,1.0,1.0,0.0,1110
ENSG00000196576-ENSG00000168758,1.0,1.0,1.0,0.0,1110
ENSG00000100311-ENSG00000134853,1.0,1.0,1.0,0.0,1110
ENSG00000163956-ENSG00000134243,1.0,1.0,1.0,0.0,1110
ENSG00000127418-ENSG00000138685,1.0,1.0,1.0,0.0,1110
ENSG00000090776-ENSG00000196411,1.0,1.0,1.0,0.0,1110
ENSG00000145242-ENSG00000169242,1.0,1.0,1.0,0.0,1110
ENSG00000066468-ENSG00000091831,1.0,1.0,1.0,0.0,1110
ENSG00000188064-ENSG00000162998,1.0,1.0,1.0,0.0,1110
ENSG00000154764-ENSG00000104332,1.0,1.0,1.0,0.0,1110
