,acc_SVM,acc_RandomForest,acc_GCN,spe_SVM,spe_RandomForest,spe_GCN,sen_SVM,sen_RandomForest,sen_GCN
1,0.582089552238806,0.8283582089552238,0.8433,0.8507463,0.8358209000000001,0.8059701323509216,0.31343284,0.8208955,0.8805969953536987
2,0.5882352941176471,0.9117647058823528,0.9191,0.8235294,0.89705884,0.9264705777168274,0.3529412,0.9264706,0.911764681339264
3,0.5661764705882353,0.8161764705882353,0.8382,0.88235295,0.7647059,0.8382353186607361,0.25,0.86764705,0.8382353186607361
mu,0.5788337723148961,0.8520997951419375,0.8668666666666667,0.85220955,0.8325285466666666,0.8568920095761617,0.30545801333333333,0.8716710500000001,0.8768656651178995
sd,0.00929508834672498,0.042481563590627186,0.03699318255510813,0.024036892950525055,0.05408299100773756,0.050932264955727904,0.04240220953073502,0.04319467457146774,0.030133966582292327
