,acc_SVM,acc_RandomForest,acc_GCN,spe_SVM,spe_RandomForest,spe_GCN,sen_SVM,sen_RandomForest,sen_GCN
1,0.5160142348754448,0.6370106761565836,0.5783,0.09608541,0.658363,0.59786475,0.93594307,0.61565834,0.55871886
2,0.5212765957446809,0.6436170212765957,0.5851,0.8581559999999999,0.6560284000000001,0.4929077923297882,0.18439716,0.6312057,0.6773049831390381
3,0.5159574468085106,0.6400709219858156,0.5656,0.08156028400000001,0.68085104,0.6205673813819885,0.95035464,0.5992908,0.5106382966041565
mu,0.5177494258095454,0.6402328731396649,0.5763333333333334,0.3452672313333333,0.6650808133333334,0.5704466412372589,0.6902316233333333,0.6153849466666667,0.5822207132477315
sd,0.002494193528261053,0.0026994592166273918,0.008081391519341749,0.36271560171355194,0.011191890699029422,0.05560609789905114,0.3577273650507765,0.01303063744765985,0.07004141122549122
