,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,194.16989,0.5,179.37674,0.5,171.6598,0.5
1,192.87871,0.5,178.20892,0.5,170.51773,0.5
2,191.58734,0.5,177.04353,0.5,169.37347,0.5
3,190.27124,0.5,175.853,0.5,168.21693,0.5
4,189.01984,0.5,174.7206,0.5,167.11641,0.5
5,187.73718,0.5,173.56071,0.5,165.99042,0.5
6,186.46817,0.5,172.41397,0.5,164.87135,0.5
7,185.15475,0.5,171.23009,0.5,163.70892,0.5
8,183.87605,0.5,170.07571,0.5,162.58228,0.5
9,182.5627,0.5,168.8923,0.5,161.41992,0.49583334
10,181.24878,0.5,167.71097,0.5,160.2656,0.49583334
11,179.96948,0.5,166.55753,0.5,159.13145,0.49583334
12,178.74358,0.49704143,165.44838,0.5,158.04555,0.49583334
13,177.51949,0.49704143,164.34431,0.5,156.96436,0.49583334
14,176.24556,0.49704143,163.19685,0.5,155.8412,0.49583334
15,174.94214,0.49704143,162.0219,0.5,154.68971,0.49583334
16,173.67067,0.49704143,160.87383,0.5,153.56358,0.49583334
17,172.34503,0.49704143,159.6811,0.5,152.39464,0.49583334
18,171.08432,0.49704143,158.54195,0.5,151.27797,0.49583334
19,169.77808,0.49704143,157.36691,0.5,150.12389,0.49583334
20,168.46216,0.49704143,156.1832,0.5,148.9585,0.49583334
21,167.13289,0.49704143,154.9843,0.5,147.79027,0.49166667
22,165.80722,0.49704143,153.78743,0.5,146.62418,0.49166667
23,164.58191,0.49704143,152.68202,0.49315068,145.54393,0.49166667
24,163.34192,0.49704143,151.56482,0.49315068,144.44418,0.4875
25,162.01855,0.49704143,150.36992,0.49315068,143.27263,0.4875
26,160.7603,0.49408284,149.23537,0.48630136,142.15999,0.4875
27,159.49713,0.49112427,148.09436,0.48630136,141.05086,0.4875
28,158.25298,0.48816568,146.9738,0.48630136,139.94908,0.4875
29,156.92284,0.48816568,145.77458,0.48630136,138.77838,0.4875
30,155.57498,0.48816568,144.55974,0.48630136,137.58743,0.47916666
31,154.28394,0.48816568,143.39467,0.48630136,136.44951,0.47916666
32,152.92471,0.48816568,142.17178,0.48630136,135.24615,0.47916666
33,151.64497,0.48816568,141.0153,0.47945204,134.1271,0.475
34,150.38383,0.48816568,139.8796,0.47945204,133.01576,0.475
35,149.07664,0.48816568,138.70082,0.47945204,131.86354,0.475
36,147.79787,0.48816568,137.54768,0.47945204,130.73724,0.475
37,146.48218,0.4852071,136.3636,0.47945204,129.57535,0.475
38,145.09578,0.4852071,135.11714,0.47945204,128.36176,0.475
39,143.78708,0.4822485,133.93713,0.47945204,127.20752,0.475
40,142.4681,0.4822485,132.75063,0.47945204,126.04538,0.475
41,141.21405,0.4822485,131.62015,0.47945204,124.941475,0.475
42,139.93198,0.47928995,130.46582,0.47945204,123.809685,0.475
43,138.64122,0.47928995,129.3028,0.47945204,122.670746,0.475
44,137.29822,0.47928995,128.09161,0.47945204,121.48938,0.475
45,136.0679,0.47928995,126.97838,0.47945204,120.40435,0.475
46,134.81966,0.47928995,125.85159,0.47260273,119.30298,0.475
47,133.5244,0.47928995,124.684555,0.47260273,118.160484,0.475
48,132.2122,0.47928995,123.50389,0.47260273,117.00744,0.475
49,130.91832,0.47928995,122.33385,0.47260273,115.869026,0.475
50,129.61987,0.47928995,121.163124,0.47260273,114.7242,0.475
51,128.36719,0.47928995,120.03104,0.47260273,113.61591,0.475
52,127.08001,0.47928995,118.86987,0.47260273,112.48565,0.475
53,125.81109,0.47928995,117.723114,0.47260273,111.36484,0.475
54,124.48703,0.47928995,116.53164,0.47260273,110.19439,0.475
55,123.14619,0.47633135,115.32548,0.47260273,109.011635,0.47083333
56,121.8623,0.47633135,114.166725,0.47260273,107.88042,0.47083333
57,120.63221,0.47633135,113.05756,0.47260273,106.79759,0.47083333
58,119.40857,0.47633135,111.9565,0.47260273,105.71172,0.47083333
59,118.066,0.47633135,110.749855,0.47260273,104.53346,0.46666667
60,116.76455,0.4704142,109.578804,0.47260273,103.38494,0.46666667
61,115.45542,0.4704142,108.40031,0.47260273,102.232994,0.46666667
62,114.24732,0.4704142,107.26468,0.46575344,101.127945,0.46666667
63,113.15576,0.4704142,106.23578,0.47260273,100.05117,0.46666667
64,112.0763,0.4704142,105.288666,0.47260273,99.00394,0.46666667
65,111.03518,0.46449703,104.35852,0.47260273,97.98622,0.4625
66,110.06522,0.46449703,103.4588,0.47260273,97.02441,0.45833334
67,109.12689,0.46449703,102.58781,0.47260273,96.12523,0.45833334
68,108.17903,0.46449703,101.70772,0.47260273,95.2238,0.45833334
69,107.20162,0.46449703,100.80108,0.47260273,94.28758,0.45833334
70,106.25378,0.46449703,99.91767,0.47260273,93.37893,0.45833334
71,105.32249,0.46449703,99.051735,0.47260273,92.51113,0.4625
72,104.339615,0.46449703,98.13918,0.47260273,91.596275,0.4625
73,103.3656,0.46449703,97.24918,0.46575344,90.69369,0.4625
74,102.414536,0.46153846,96.40384,0.46575344,89.81299,0.4625
75,101.44661,0.46449703,95.55225,0.46575344,88.897675,0.4625
76,100.46006,0.46449703,94.6614,0.46575344,87.97157,0.4625
77,99.56117,0.46449703,93.84767,0.46575344,87.12099,0.4625
78,98.625465,0.45857987,92.99872,0.45890412,86.23835,0.4625
79,97.75601,0.45857987,92.18844,0.45890412,85.38801,0.45833334
80,96.89621,0.45266274,91.38268,0.45890412,84.54957,0.45833334
81,96.052124,0.45266274,90.59123,0.45890412,83.74399,0.45833334
82,95.18594,0.4556213,89.77171,0.45890412,82.92305,0.4625
83,94.31118,0.4556213,88.94662,0.45890412,82.088165,0.4625
84,93.4217,0.45857987,88.10243,0.45890412,81.23667,0.4625
85,92.52138,0.45857987,87.23858,0.45890412,80.367165,0.4625
86,91.708824,0.45857987,86.46646,0.45890412,79.59995,0.4625
87,90.8698,0.45857987,85.66873,0.45890412,78.802574,0.4625
88,90.04191,0.4556213,84.87608,0.45890412,78.00686,0.4625
89,89.18945,0.45266274,84.05831,0.45890412,77.21009,0.475
90,88.37453,0.44970414,83.27314,0.45890412,76.46357,0.475
91,87.5357,0.45266274,82.47309,0.45890412,75.69367,0.475
92,86.74442,0.44970414,81.706535,0.45890412,74.96164,0.475
93,85.96273,0.44970414,80.94815,0.45890412,74.241714,0.475
94,85.179436,0.44970414,80.190674,0.45890412,73.5143,0.475
95,84.402794,0.44970414,79.44116,0.45890412,72.80039,0.475
96,83.666306,0.44970414,78.74453,0.45890412,72.13484,0.475
97,82.84257,0.44970414,77.96296,0.4520548,71.3851,0.475
98,82.046165,0.44674557,77.1847,0.4520548,70.64538,0.475
99,81.25461,0.44674557,76.4156,0.4520548,69.913376,0.475
100,80.52321,0.44674557,75.73097,0.4520548,69.2615,0.47083333
101,79.702835,0.44674557,74.93343,0.45890412,68.48306,0.47083333
102,78.9568,0.44674557,74.233154,0.45890412,67.80278,0.47083333
103,78.18661,0.44674557,73.50904,0.45890412,67.0938,0.47083333
104,77.41883,0.44378698,72.78046,0.45890412,66.382904,0.47083333
105,76.631134,0.4408284,72.02828,0.45890412,65.647675,0.47083333
106,75.84657,0.44378698,71.28144,0.45890412,64.91989,0.46666667
107,75.11178,0.44378698,70.58054,0.45890412,64.248344,0.46666667
108,74.359436,0.44378698,69.85284,0.45890412,63.544266,0.46666667
109,73.630516,0.44378698,69.173615,0.45890412,62.89541,0.46666667
110,72.9181,0.44378698,68.49981,0.45890412,62.25387,0.46666667
111,72.18737,0.44674557,67.79944,0.45890412,61.578243,0.46666667
112,71.468956,0.44674557,67.11514,0.45890412,60.925003,0.46666667
113,70.74547,0.44970414,66.42789,0.45890412,60.265785,0.46666667
114,70.059204,0.44970414,65.79593,0.45890412,59.665016,0.46666667
115,69.30476,0.44674557,65.08105,0.45890412,58.977222,0.4625
116,68.5451,0.44378698,64.375305,0.45890412,58.29811,0.4625
117,67.81799,0.4408284,63.68807,0.45890412,57.640884,0.4625
118,67.113594,0.43786982,63.005875,0.45890412,56.98501,0.4625
119,66.39826,0.43491125,62.30248,0.45890412,56.302517,0.4625
120,65.6637,0.43195266,61.615696,0.45890412,55.644455,0.4625
121,64.94713,0.43195266,60.93782,0.4520548,54.99389,0.4625
122,64.23802,0.4289941,60.25216,0.4520548,54.334835,0.45833334
123,63.53675,0.4260355,59.58324,0.4520548,53.696934,0.45833334
124,62.804127,0.4260355,58.89564,0.4520548,53.03146,0.45833334
125,62.078346,0.4260355,58.226414,0.4520548,52.39026,0.45833334
126,61.350437,0.42307693,57.551285,0.4520548,51.739204,0.45833334
127,60.66872,0.42307693,56.898224,0.4520548,51.114075,0.45833334
128,59.9553,0.42307693,56.243847,0.4520548,50.49188,0.45833334
129,59.227665,0.42307693,55.562332,0.4520548,49.839535,0.45833334
130,58.525368,0.42307693,54.89076,0.4520548,49.193214,0.45833334
131,57.77861,0.42307693,54.18436,0.4520548,48.516678,0.45833334
132,57.073082,0.41420117,53.50794,0.4520548,47.872837,0.45416668
133,56.331963,0.41420117,52.825214,0.4520548,47.218567,0.45
134,55.60518,0.4112426,52.137787,0.4520548,46.561924,0.44583333
